Station,depth,CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,PHSPHT,PHSPHT_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRIT,NITRIT_FLAG_W,NITRAT_FLAG_W,NITRAT
3,2,2.40,0,20.33,1,35.53,1,213.74,1,0.10,1.00,1.07,1,0.00,1,1,0.02
3,2,2.50,0,20.32,1,35.53,1,215.93,1,0.12,1.00,0.91,1,0.01,6,1,0.01
3,3,2.60,0,20.32,1,35.53,1,216.11,1,0.11,1.00,0.95,1,0.01,6,1,0.01
3,3,3.20,0,20.32,1,35.53,1,215.84,1,0.11,1.00,0.92,1,0.01,6,1,0.01
3,17,17.60,0,20.31,1,35.53,1,216.05,1,0.12,1.00,0.96,1,0.01,6,1,0.01
3,18,17.70,0,20.32,1,35.53,1,216.16,1,0.12,1.00,0.96,1,0.01,6,1,0.01
3,18,18.60,0,20.29,1,35.53,1,213.91,1,0.10,1.00,1.08,1,0.00,1,1,0.02
3,19,18.80,0,20.28,1,35.52,1,219.23,1,0.11,1.00,1.03,1,0.01,6,6,0.01
3,27,27.10,0,20.20,1,35.52,1,216.39,1,0.13,1.00,0.97,1,0.01,6,1,0.03
3,27,27.50,0,20.20,1,35.52,1,216.34,1,0.13,1.00,1.03,1,0.01,6,1,0.03
3,34,33.80,0,20.16,1,35.52,1,219.00,1,0.11,1.00,1.01,1,0.01,6,6,0.01
3,38,37.80,0,19.97,1,35.51,1,215.38,1,0.13,1.00,1.10,1,0.01,1,1,0.03
3,46,46.80,0,19.77,1,35.50,1,214.43,1,0.14,1.00,1.19,1,0.02,1,1,0.03
3,47,47.10,0,19.79,1,35.51,1,211.55,1,0.12,1.00,1.41,1,0.01,1,1,0.03
3,47,47.50,0,19.77,1,35.50,1,214.31,1,0.14,1.00,1.21,1,0.02,1,1,0.04
3,48,48.50,0,19.88,1,35.52,1,218.46,1,,9.00,1.05,1,0.01,6,1,0.03
3,58,57.90,0,19.49,1,35.52,1,209.98,1,0.18,1.00,1.84,1,0.13,1,1,0.22
3,58,58.70,0,19.42,1,35.52,1,209.87,1,,9.00,,9,,9,9,0.00
3,58,58.70,0,19.43,1,35.52,1,209.96,1,0.16,1.00,1.84,1,0.14,1,1,0.25
3,72,72.40,0,18.66,1,35.54,1,206.42,1,0.24,1.00,2.58,1,0.44,1,1,1.05
3,73,73.20,0,18.65,1,35.54,1,207.08,1,0.24,1.00,2.51,1,0.43,1,1,1.01
3,74,74.50,0,18.88,1,35.55,1,213.33,1,0.15,1.00,1.94,1,0.16,1,1,0.31
3,97,97.40,0,18.01,1,35.56,1,204.55,1,0.31,1.00,3.37,1,0.09,1,1,2.30
3,97,97.40,0,18.03,1,35.55,1,204.76,1,0.26,1.00,3.19,1,0.11,1,1,2.06
3,97,98.10,0,18.01,1,35.56,1,204.46,1,0.31,1.00,3.36,1,0.09,1,1,2.30
3,98,99.20,0,18.05,1,35.56,1,204.39,1,0.29,1.00,3.55,1,0.10,1,1,2.33
