Station,long,lat,depth,DGM_pg_L,HgT_ng_L,MeHg_pg_L,DMHg_pg_L
3,13.11,-36.34,3,13.00,0.22,13.00,
3,13.11,-36.34,17,7.20,0.20,13.00,
3,13.11,-36.34,47,9.00,,5.50,
3,13.11,-36.34,58,8.20,,8.30,
3,13.11,-36.34,73,12.40,0.25,10.00,
3,13.11,-36.34,97,9.60,0.22,5.30,
3,13.11,-36.34,198,13.60,0.36,9.70,
3,13.11,-36.34,396,24.40,,19.10,
3,13.11,-36.34,994,70.00,0.20,8.20,
3,13.11,-36.34,1244,,0.20,2.60,
3,13.11,-36.34,1493,71.60,0.25,5.40,
3,13.11,-36.34,2991,80.40,0.22,6.20,
3,13.11,-36.34,3993,60.20,0.73,4.30,
3,13.11,-36.34,4494,83.80,0.35,7.60,
3,13.11,-36.34,4900,81.60,0.27,8.50,
7,-0.50,-40.01,2,4.46,0.20,9.60,
7,-0.50,-40.01,27,,0.17,7.10,
7,-0.50,-40.01,77,,,5.60,
7,-0.50,-40.01,197,21.22,0.18,5.30,
7,-0.50,-40.01,496,46.88,0.24,5.60,
7,-0.50,-40.01,745,68.22,0.26,4.10,
7,-0.50,-40.01,995,72.76,0.24,4.90,
7,-0.50,-40.01,1243,66.18,0.31,2.70,
7,-0.50,-40.01,1494,88.80,0.26,5.10,
7,-0.50,-40.01,1993,69.70,0.32,7.20,
7,-0.50,-40.01,2493,74.24,0.27,5.70,
7,-0.50,-40.01,2992,79.38,0.28,5.00,
8,-9.67,-40.00,18,,0.30,12.60,
8,-9.67,-40.00,34,,0.35,11.90,
8,-9.67,-40.00,43,,0.26,15.10,
8,-9.67,-40.00,74,,0.32,12.30,
8,-9.67,-40.00,98,,0.27,8.50,
8,-9.67,-40.00,149,,0.30,9.50,
8,-9.67,-40.00,209,,0.66,7.40,
8,-9.67,-40.00,298,,0.19,8.80,
8,-9.67,-40.00,499,,0.64,6.10,
8,-9.67,-40.00,747,,0.32,6.30,
8,-9.67,-40.00,996,,0.25,7.30,
8,-9.67,-40.00,1495,,0.25,2.70,
8,-9.67,-40.00,1993,,0.24,5.40,
8,-9.67,-40.00,2492,,0.22,2.70,
8,-9.67,-40.00,2991,,0.12,5.90,
8,-9.67,-40.00,3375,,0.22,7.90,
12,-16.47,-40.00,18,,0.23,9.40,
12,-16.47,-40.00,34,,0.18,10.40,
