Station_ID	Sample_Depth	Start_Latitude	Start_Longitude	Hg0_pM	HgT_pM	DMHg_pM	MMHg_pM	TRANSM	FLUORM	CTDPRS	CTDTMP	CTDSAL	CTDOXY	SILCAT	NITRAT	NITRIT	PHSPHT
10	20	74.999	-170.042	0.16	1.39		0.012	4.3584	0.083	20.2	-0.7891	29.412	433.4	3.53	0.33	0	0.7
10	20	74.999	-170.042	0.16	1.39		0.012	4.3584	0.083	20.2	-0.7891	29.412	433.4	2.06	0.01	0	0.63
10	44	74.999	-170.042	0.04	0.94		0.026	4.3208	0.527	44.3	-1.2086	31.7411	399.2	25.65	6.8	0.13	1.34
10	44	74.999	-170.042	0.04	0.94		0.026	4.3208	0.527	44.3	-1.2086	31.7411	398.4	23.21	5.1	0.12	1.26
10	80	74.999	-170.042	0.11	1.73		0.045	4.4366	0.066	80.7	-1.5536	32.3635	318.8	28.68	11.79	0.02	1.57
10	80	74.999	-170.042	0.11	1.73		0.045	4.4366	0.066	80.7	-1.5536	32.3635	318.8	28.29	11.22	0.02	1.56
10	120	74.999	-170.042	0.09	0.58		0.038	4.4394	0.027	121.2	-1.7012	32.878	310	39.63	16.46	0.01	1.82
10	120	74.999	-170.042	0.09	0.58		0.038	4.4394	0.027	121.2	-1.7012	32.878	313.9	37.77	15.34	0.02	1.77
12	19	75.777	-171.254	0.33	1.47		0.016	4.4409	0.024	19	-0.5989	28.577	394.3	4.02	0.27	0.01	0.73
12	19	75.777	-171.254	0.33	1.47		0.016	4.4409	0.024	19	-0.5989	28.577	394.3	5.88	1.31	0.06	0.81
12	19	75.777	-171.254	0.33	1.47		0.016	4.4409	0.024	19.6	-0.6061	28.6159	393.9	2.94	0.04	0	0.67
12	19	75.777	-171.254	0.33	1.47		0.016	4.4409	0.024	19.6	-0.6061	28.6159	393.9	2.94	0.09	0	0.66
12	39	75.777	-171.254	0	0.96		0.022	4.4399	0.042	39	-0.7804	29.962	392.6	3.53	0.04	0	0.72
12	39	75.777	-171.254	0	0.96		0.022	4.4399	0.042	39	-0.7804	29.962	392.6	3.73	0.03	0	0.72
12	39	75.777	-171.254	0	0.96		0.022	4.4399	0.042	39.4	-0.7766	29.9845	391.7	3.43	0.05	0	0.7
12	39	75.777	-171.254	0	0.96		0.022	4.4399	0.042	39.4	-0.7766	29.9845	391.7	4.12	0.17	0	0.74
12	59	75.777	-171.254	0.46	0.71		0.046	4.3805	0.383	59.5	-0.2656	31.17	369.6	7.54	1.8	0.2	0.94
12	59	75.777	-171.254	0.46	0.71		0.046	4.3805	0.383	59.5	-0.2656	31.17	369.6	7.94	2.09	0.2	0.96
