STNNBR,LATITUDE,LONGITUDE,GEOTRC_SAMPNO,CTDPRS,CTDDEPTH,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W
1,60.2579,-179.0832,10493,24.6,24,9.6433,32.9292,2,32.9331,2,317.6,1,4.2,2,9.65,2,0.16,2,1.08,2
1,60.2579,-179.0832,10492,24.6,24,9.6433,32.9292,2,32.9325,2,285.6,1,4.3,2,9.72,2,0.16,2,1.08,2
1,60.2579,-179.0832,10491,42.5,42,4.303,32.9293,2,32.9352,2,317.6,1,24.92,2,18.48,2,0.3,2,1.76,2
1,60.2579,-179.0832,10490,42.5,42,4.303,32.9293,2,32.9495,2,317.6,1,27.46,2,19.58,2,0.23,2,1.79,2
1,60.2579,-179.0832,10489,73.5,73,3.4803,33.0315,2,33.0446,2,283,1,44.47,2,25.89,2,0.04,2,2,2
1,60.2579,-179.0832,10488,73.5,73,3.4803,33.0315,2,33.0562,2,283,1,46.03,2,26.24,2,0.04,2,1.96,2
1,60.2579,-179.0832,10487,100,99,3.0635,33.0629,2,33.0706,2,293.9,1,45.44,2,26.23,2,0.1,2,2.02,2
1,60.2579,-179.0832,10486,100,99,3.0635,33.0629,2,33.0687,2,286.3,1,45.54,2,26.06,2,0.1,2,2.02,2
1,60.2579,-179.0832,10485,149.7,148,2.6671,33.0905,2,33.0966,2,293.9,1,47.88,2,26.69,2,0.02,2,2.06,2
1,60.2579,-179.0832,10484,149.7,148,2.6671,33.0905,2,33.0983,2,293.9,1,47.88,2,26.69,2,0.01,2,2.07,2
1,60.2579,-179.0832,10483,175.1,173,2.4595,33.0932,2,33.1013,2,293,1,47.88,2,26.63,2,0.02,2,2.08,2
1,60.2579,-179.0832,10482,175.1,173,2.4595,33.0932,2,33.1019,2,293,1,47.88,2,26.66,2,0.02,2,2.06,2
1,60.2579,-179.0832,10481,551.7,546,3.6934,33.9956,2,34.0068,4,39.7,1,109.38,4,43.2,4,0.01,4,3.08,4
1,60.2579,-179.0832,10480,551.7,546,3.6934,33.9956,2,34.007,4,39.7,1,109.18,4,43.13,4,0.01,4,3.08,4
1,60.2579,-179.0832,10479,552.1,546,3.6935,33.9956,2,34.0066,4,39.7,1,109.28,4,43.16,4,0.01,4,3.08,4
1,60.2579,-179.0832,10478,552.1,546,3.6935,33.9956,2,34.0074,4,39.7,1,109.57,4,43.1,4,0.01,4,3.08,4
1,60.2579,-179.0832,10477,552.6,547,3.6934,33.9955,2,33.7488,4,39.2,1,91.02,4,39.8,4,0.01,4,2.9,4
1,60.2579,-179.0832,10476,552.6,547,3.6934,33.9955,2,33.7474,4,39.2,1,90.82,4,39.75,4,0.02,4,2.85,4
