Station_ID,Start_Latitude,Start_Longitude,Sample_Depth,Hg0 (pM),HgT (pM),DMHg (pM),MMHg (pM),HgT_P (pmol/ug),MMHg_P (pmol/ug),Sample_Depth_p
1,60.258,-179.083,1,0.12,0.84,0,,,,
1,60.258,-179.083,24,0.06,1.08,0,,0.000312845,1.3367E-05,19
1,60.258,-179.083,42,0,1.9,0,,0.000301216,1.55924E-05,41
1,60.258,-179.083,73,0.08,0.59,0,,,,
1,60.258,-179.083,99,0.11,2.97,0.005,,0.000846518,1.34032E-05,123
1,60.258,-179.083,148,0.16,,0,,,,
1,60.258,-179.083,173,0.12,1.89,0.004,,,,
1,60.258,-179.083,546,0.07,1.13,0.076,,,,
1,60.258,-179.083,546,0.14,0.72,0,,,,
1,60.258,-179.083,547,0.12,1.5,0.035,,,,
1,60.258,-179.083,548,0.18,0.62,0.1,,,,
1,60.258,-179.083,598,0.29,1.16,0.045,,,,
1,60.258,-179.083,733,0.07,2.28,0.12,,,,
2,62.189,-171.576,1,0.08,1.38,0,,,,
2,62.189,-171.576,19,0.05,1.05,0,,0.000225972,2.00864E-06,19
2,62.189,-171.576,33,0.05,1.52,0,,,,
2,62.189,-171.576,44,0,2.15,0,,0.000207513,2.95443E-07,44
3,64.004,-166.61,1,0.05,0.5,,,,,
3,64.004,-166.61,19,0.04,0.65,,,,,
3,64.004,-166.61,22,0,0.72,,,,,
3,64.004,-166.61,26,0,0.56,,,0.000375633,5.09788E-07,26
4,65.802,-168.602,1,0,0.96,,,,,
4,65.802,-168.602,17,0,0.65,,,,,
4,65.802,-168.602,34,0.12,0.65,,,,,
4,65.802,-168.602,47,,0.8,,,,,
5,66.328,-168.901,17,0.05,1.01,,,,,
5,66.328,-168.901,34,0.04,0.72,,,,,
5,66.328,-168.901,49,0.07,0.61,,,,,
6,68.003,-168.007,1,0.06,1.01,,,,,
6,68.003,-168.007,17,0.07,0.42,,,0.000314041,1.25616E-06,15
6,68.003,-168.007,31,0,1.06,,,0.000293999,1.67386E-06,30
6,68.003,-168.007,48,0,0.52,,,0.000200739,2.08185E-06,46
8,73.985,-168.776,1,0.07,1.7,,,,,
8,73.985,-168.776,24,0,0.9,,,,,
8,73.985,-168.776,44,0.04,0.92,,,,,
8,73.985,-168.776,59,0.09,3.78,,,,,
9,74.999,-170.042,1,0.13,1.42,,,,,
10,74.999,-170.042,1,0.33,2.98,,0,,,
10,74.999,-170.042,20,0.16,1.39,,0.012,,,
10,74.999,-170.042,44,0.04,0.94,,0.026,0.000608727,2.48564E-05,44
10,74.999,-170.042,80,0.11,1.73,,0.045,0.000316398,4.11317E-05,81
10,74.999,-170.042,120,0.09,0.58,,0.038,0.000411781,1.44123E-05,121
10,74.999,-170.042,193,0.37,,,,0.000378,0.00018522,196
10,74.999,-170.042,205,0.26,1.31,,,0.000474276,0.000121731,213
10,74.999,-170.042,255,0.38,0.97,,,0.000794827,5.40924E-05,258
12,75.777,-171.254,1,0.04,1.16,,0.006,,,
12,75.777,-171.254,19,0.33,1.47,,0.016,,,
12,75.777,-171.254,39,0,0.96,,0.022,,,
12,75.777,-171.254,59,0.46,0.71,,0.046,,,
14,76.5,-172.97,1,0,0.96,,0.011,,,
14,76.5,-172.97,17,0.19,1.27,,0.026,0.022876665,0.000125556,20
14,76.5,-172.97,29,0.5,0.67,,0.027,,,
14,76.5,-172.97,55,0,1.31,,0.02,0.696412315,0.004766115,59
14,76.5,-172.97,74,0.33,0.67,,0.025,,,
14,76.5,-172.97,99,0.15,0.91,,0.018,,,
14,76.5,-172.97,149,0.28,1.32,,0.006,0.005042894,0.000137375,155
14,76.5,-172.97,169,0.07,1.18,,0.013,0.006800058,0.000156924,176
14,76.5,-172.97,204,0.14,1.3,,0.05,0.005119579,0.000318304,212
14,76.5,-172.97,225,0.25,1.45,,0.049,0.011042098,0.000581025,283
14,76.5,-172.97,274,0.37,1.22,,0.012,,,
14,76.5,-172.97,374,0.32,0.5,,0.038,0.007600477,0.000562846,386
14,76.5,-172.97,477,0.38,0.98,,0.01,0.000638165,2.68941E-05,493
14,76.5,-172.97,479,0.2,0.45,,0.007,,,
14,76.5,-172.97,599,0.09,0.52,,0.009,,,
14,76.5,-172.97,699,0.04,0.41,,0.007,,,
14,76.5,-172.97,799,0.08,0.72,,0.007,,,
14,76.5,-172.97,1019,0.06,0.87,,0.013,62634.73054,394.011976,981
14,76.5,-172.97,1199,0.2,0.42,,0.02,,,
14,76.5,-172.97,1399,0,0.67,,0.013,0.003001346,4.66876E-05,1368
14,76.5,-172.97,1599,0.06,0.67,,0.01,,,
14,76.5,-172.97,1749,0.16,0.85,,0.013,0.003246353,5.84343E-05,1725
14,76.5,-172.97,1999,0.07,0.8,,0.009,,,
14,76.5,-172.97,2089,0.11,0.62,,0.02,0.006479726,0.00035933,2133
14,76.5,-172.97,2209,0.21,0.74,,0.022,0.001040923,2.60231E-06,2194
19,79.981,-175.024,24,0.38,1.38,0.004,,0.000993915,5.26775E-05,26
19,79.981,-175.024,47,0.4,0.59,0.013,,0.000898165,6.19005E-05,49
19,79.981,-175.024,74,0.04,0.51,0.042,,0.001,9.52941E-05,77
19,79.981,-175.024,99,0.22,0.49,0.029,,0.001795288,0.000189196,102
19,79.981,-175.024,124,0.14,1.11,0.014,,,,
19,79.981,-175.024,149,0.2,2.28,0.059,,0.001864243,0.000305736,153
19,79.981,-175.024,169,0.43,1.17,0.029,,0.001507871,0.000262735,174
19,79.981,-175.024,249,0.53,0.28,0.046,,0.002334464,0.000226342,256
19,79.981,-175.024,349,0,0.32,0.015,,,,
19,79.981,-175.024,399,0.05,0.58,0.003,,0.003011494,0.000230881,409
19,79.981,-175.024,449,0.18,0.65,0.002,,,,
19,79.981,-175.024,499,0.25,0.33,0.003,,0.007655479,0.000229664,505
19,79.981,-175.024,499,0.07,0.84,0,,,,
19,79.981,-175.024,584,0.1,0.64,0.001,,,,
19,79.981,-175.024,699,0,0.68,0.006,,0.009755511,0.000122511,709
19,79.981,-175.024,849,0.09,0.7,0.007,,,,
19,79.981,-175.024,999,0.08,0.77,0.001,,0.007427065,0.000151102,1016
19,79.981,-175.024,1149,0.25,0.54,0.004,,,,
19,79.981,-175.024,1239,0.07,0.34,0.007,,0.007236297,0.00014731,1262
19,79.981,-175.024,1349,0,0.74,0.004,,,,
19,79.981,-175.024,1499,0,0.35,0.008,,,,
19,79.981,-175.024,1669,0.04,1.05,0.003,,0.00332003,5.43278E-05,1702
19,79.981,-175.024,1879,0.19,1.03,0.005,,,,
19,79.981,-175.024,1964,0.05,0.87,0,,0.002247501,2.05207E-05,1969
26,83.729,-174.399,18,0.2,0.96,0.035,0.082,,,
26,83.729,-174.399,24,0.26,,0.013,0.024,0.010962172,3.59784E-05,25
26,83.729,-174.399,47,0.18,0.55,0.017,0.024,,,
26,83.729,-174.399,52,0.24,0.58,0.013,0.008,0.004654964,2.69776E-05,55
26,83.729,-174.399,70,0.22,0.5,0.012,0.024,0.00701245,5.40039E-05,73
26,83.729,-174.399,95,0.41,0.52,0.02,0.008,0.006103469,4.30833E-05,100
26,83.729,-174.399,130,0.18,1.18,0.013,0.025,0.003977204,5.39763E-05,147
26,83.729,-174.399,200,0.05,0.43,0.017,0.055,0.004131416,0.000105163,210
26,83.729,-174.399,275,0,0.46,0.041,0.075,,,
26,83.729,-174.399,350,0.25,0.46,0.064,0.073,0.006385207,0.000155799,367
26,83.729,-174.399,425,0.23,0.85,0.039,0.082,0.003936712,6.94714E-06,524
26,83.729,-174.399,499,0.16,0.47,0.029,0.089,,,
26,83.729,-174.399,499,0.05,0.51,0.034,0.09,,,
26,83.729,-174.399,749,0.07,0.66,0.045,0.091,0.006541727,0.000139755,745
