Station_ID,Start_Latitude,Start_Longitude,Sample_Depth,Hg0_pM,HgT_pM,DMHg_pM,MMHg_pM,HgP_pmol_ug,MMHgP_pmol_ug,POC_umolC_kg
1,60.258,-179.083,24,0.06,1.08,0,,0.000689704,2.92E-05,4.392431064
1,60.258,-179.083,42,0,1.9,0,,0.000857484,0.000167209,1.875063452
2,62.189,-171.576,19,0.05,1.05,0,,0.000207513,2.95E-07,1.902177231
3,64.004,-166.61,26,0,0.56,,,0.000375633,5.10E-07,7.873020099
3,64.004,-166.61,22,0,0.72,,,0.000375633,5.10E-07,7.873020099
6,68.003,-168.007,17,0.07,0.42,,,0.000200739,2.08E-06,26.32087799
6,68.003,-168.007,31,0,1.06,,,0.000293999,1.67E-06,11.50224148
6,68.003,-168.007,48,0,0.52,,,0.000314041,1.26E-06,12.37495047
10,74.999,-170.042,44,0.04,0.94,,0.026,0.000474276,0.000121731,1.838843524
10,74.999,-170.042,80,0.11,1.73,,0.045,0.000378,0.00018522,0.549226499
10,74.999,-170.042,120,0.09,0.58,,0.038,0.000794827,5.41E-05,0.353826836
10,74.999,-170.042,193,0.37,,,,0.000411781,1.44E-05,0.407086002
10,74.999,-170.042,255,0.38,0.97,,,0.000608727,2.49E-05,1.161840645
14,76.5,-172.97,17,0.19,1.27,,0.026,62634.73054,394.011976,0.782129701
19,79.981,-175.024,24,0.38,1.38,0.004,,0.010962172,3.60E-05,0.92259005
19,79.981,-175.024,47,0.4,0.59,0.013,,0.009755511,0.000122511,1.440430023
19,79.981,-175.024,74,0.04,0.51,0.042,,0.007236297,0.00014731,0.553993882
19,79.981,-175.024,99,0.22,0.49,0.029,,0.007655479,0.000229664,0.381348972
19,79.981,-175.024,149,0.2,2.28,0.059,,0.003011494,0.000230881,0.356527798
19,79.981,-175.024,169,0.43,1.17,0.029,,0.002334464,0.000226342,0.396149864
19,79.981,-175.024,1964,0.05,0.87,0,,0.004131416,0.000105163,0.030769408
26,83.729,-174.399,24,0.26,,0.013,0.024,0.006541727,0.000139755,0.776926081
26,83.729,-174.399,52,0.24,0.58,0.013,0.008,0.003449968,9.20E-05,0.809776948
26,83.729,-174.399,70,0.22,0.5,0.012,0.024,0.003936712,6.95E-06,0.397201133
26,83.729,-174.399,95,0.41,0.52,0.02,0.008,0.024997383,0,0.235361913
26,83.729,-174.399,749,0.07,0.66,0.045,0.091,0.00150659,0.000113391,0.075025496
30,87.64,-179.593,23,0.23,0.77,0.012,0.105,0.009233123,0.000104851,0.643118771
30,87.64,-179.593,39,0.23,0.9,0.005,0.081,0.009214947,0.000238751,0.515811264
30,87.64,-179.593,55,0.1,1.21,0.008,0.042,0.004744374,0.000131035,0.389160095
30,87.64,-179.593,99,0.09,0.54,0.01,0.11,0.012549912,0.00015212,0.262332502
30,87.64,-179.593,124,0.26,0.55,0.033,0.156,0.007549929,0.000120799,0.169299541
30,87.64,-179.593,174,0.26,0.57,0.014,0.041,0.007720183,0.000157913,0.181281739
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.005760947,0.000133857,0.190557214
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.007530944,9.41E-05,0.190557214
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.005760947,0.000133857,0.184593636
30,87.64,-179.593,224,0.2,0.67,0.024,0.021,0.007530944,9.41E-05,0.184593636
30,87.64,-179.593,259,0.14,0.68,0.029,0.069,0.008314907,0.000119527,0.163847712
30,87.64,-179.593,374,0.14,0.54,0.014,0.064,0.016385008,0,0.131753178
30,87.64,-179.593,799,0.04,0.74,0.026,0.032,0.008857153,5.21E-05,0.0740489
30,87.64,-179.593,999,0.04,0.41,0.013,0.102,0.003392523,0.000167841,0.053946978
30,87.64,-179.593,1399,0,0.35,0.051,0.02,0.008805255,3.06E-05,0.033109442
32,89.995,11.91,19,0.16,1.13,0.013,0.035,0.002546852,2.38E-05,0.690646225
32,89.995,11.91,59,0.27,0.97,0.004,0.034,0.008947267,1.94E-05,0.298606598
32,89.995,11.91,99,0.19,0.74,0.059,0.054,0.008934541,3.41E-05,0.25032441
32,89.995,11.91,149,0,0.83,0.041,0.078,0.004966467,6.62E-05,0.195531577
32,89.995,11.91,274,0,,0.06,0.037,0.006671963,6.67E-05,0.12362244
32,89.995,11.91,349,0.06,1.02,0.034,0.052,0.003834266,3.67E-05,0.106719676
32,89.995,11.91,499,0,0.23,0.024,0.017,0.002309129,3.26E-05,0.088911002
32,89.995,11.91,499,0.16,0.79,0.016,0.052,0.002309129,3.26E-05,0.088911002
32,89.995,11.91,1299,0.16,0.25,0.023,0.06,0.002145634,0,0.059052639
32,89.995,11.91,1899,0,0.66,0.029,0.044,0.005349657,6.62E-05,0.037701394
32,89.995,11.91,2349,0,0.28,0.02,0.027,0.013793845,0.000214571,0.031403126
32,89.995,11.91,2799,0.15,0.66,0.039,0.03,0.006371382,2.91E-05,0.020165452
32,89.995,11.91,3224,0.11,0.71,0.038,0.034,0.013830073,1.31E-05,0.032377202
32,89.995,11.91,4159,0.15,0.5,0.027,0.034,0.005095089,7.73E-05,0.060243196
32,89.995,11.91,4199,0.18,0.5,0.07,0.013,0.003524616,8.13E-05,0.050482773
38,87.825,-148.874,19,0.33,1.42,0.002,0,0.004623816,0.000127554,0.521392164
38,87.825,-148.874,44,0.04,1.28,0.014,0,0.010211555,7.01E-05,0.352764287
38,87.825,-148.874,62,0.09,1.16,0.018,0.017,0.004183722,7.11E-05,0.29232618
38,87.825,-148.874,99,0.15,1.48,0.002,0.028,0.008499056,6.84E-05,0.181849458
38,87.825,-148.874,199,0.08,1.04,0.057,0.024,0.002144773,2.41E-05,0.227048427
38,87.825,-148.874,799,0,0.57,0.012,0.036,0.002849604,3.26E-05,0.111550118
38,87.825,-148.874,999,0,0.53,0.009,,0.006859304,8.43E-05,0.100241467
38,87.825,-148.874,1224,0,0.71,0.036,0.036,0.00448373,9.12E-05,0.062493942
38,87.825,-148.874,2549,0.11,0.54,0.03,0.005,0.00459651,0.000143943,0.029971523
43,85.141,-149.873,20,,,0.009,0.014,0.003808651,0.000122539,0.656291491
43,85.141,-149.873,19,0.68,,0.007,,0.003808651,0.000122539,0.656291491
43,85.141,-149.873,54,0.13,2.4,0.034,0.011,0.00218334,3.37E-05,0.329326839
43,85.141,-149.873,74,0.13,0.9,0.036,0,0.017209347,7.62E-05,0.269310174
43,85.141,-149.873,100,0.08,0.93,0.044,0.011,0.007071121,0.000169707,0.276024916
43,85.141,-149.873,139,0.34,0.99,0.05,0.018,0.004882517,2.79E-05,0.218859361
43,85.141,-149.873,225,0.72,,0.044,0.011,0.006743784,0.000182082,0.150722977
43,85.141,-149.873,329,0.1,0.77,0.05,0.037,0.002302642,4.77E-05,0.13015117
43,85.141,-149.873,499,0.24,0.41,0.073,0,0.004277881,0.000188227,0.11455374
43,85.141,-149.873,499,0.26,,0.057,0.028,0.004277881,0.000188227,0.11455374
43,85.141,-149.873,599,0.22,0.42,0.093,,0.022670229,0.000104049,0.091685954
43,85.141,-149.873,849,0.11,0.57,0.152,,0.011101675,0,0.075458508
43,85.141,-149.873,999,0,0.38,0.143,0.018,0.002610597,0.00012074,0.055879315
43,85.141,-149.873,1399,0.23,0.61,0.04,0.025,0.007158408,0.000334059,0.028119823
43,85.141,-149.873,1799,0.18,0.37,0.015,,0.016863396,0.000618325,0.017453257
46,82.489,-149.851,53,0.97,1.64,0.01,,0.006125667,7.43E-05,0.550114715
46,82.489,-149.851,64,0,1.13,0.053,,0.005118997,0.000216135,0.284864435
46,82.489,-149.851,199,0.41,1.1,0.092,,0.015566046,0.000131082,0.145521039
46,82.489,-149.851,299,0.35,0.8,0.027,,0.004842518,0.000112095,0.115000028
46,82.489,-149.851,20,0.16,0.72,0.047,0.085,0.016989757,2.73E-05,0.481562877
46,82.489,-149.851,20,0.16,0.72,0.047,0.085,0.010919168,8.49E-05,0.481562877
46,82.489,-149.851,19,0.86,1.4,0.002,,0.016989757,2.73E-05,0.481562877
46,82.489,-149.851,19,0.86,1.4,0.002,,0.010919168,8.49E-05,0.481562877
46,82.489,-149.851,449,0.07,0.39,0.044,,0.003285048,2.31E-05,0.103867404
46,82.489,-149.851,449,0.07,0.39,0.044,,0.020772864,0.000163996,0.103867404
48,80.499,-148.597,24,0.47,1.47,0.003,0.009,0.004971301,3.71E-05,0.626792636
48,80.499,-148.597,49,0.08,0.94,0.029,0.039,0.006758803,0.000129769,0.597258214
48,80.499,-148.597,69,0.25,1.39,0.089,0.023,0.007453261,5.80E-05,0.389655998
48,80.499,-148.597,91,0.13,1.34,0.098,0.016,0.007202796,6.65E-05,0.299580589
48,80.499,-148.597,119,0.57,0.67,0.015,0.036,0.007325973,7.33E-05,0.285381543
48,80.499,-148.597,153,0,1.09,0.049,0.044,0.019215897,0.000151704,0.243350865
48,80.499,-148.597,191,0.18,0.77,0.033,0.024,0.030363006,0.000190853,0.208510828
48,80.499,-148.597,268,0.26,0.94,0.117,0.044,0.010733362,0.000157844,0.176350468
48,80.499,-148.597,268,0.26,0.94,0.117,0.044,0.010499178,0.000112341,0.176350468
48,80.499,-148.597,268,0.26,0.94,0.117,0.044,0.010733362,0.000157844,0.193039604
48,80.499,-148.597,268,0.26,0.94,0.117,0.044,0.010499178,0.000112341,0.193039604
48,80.499,-148.597,415,0.09,0.5,0.033,0.045,0.022808651,3.68E-05,0.121684048
48,80.499,-148.597,500,0.07,0.87,0.09,0.012,0.00332129,0,0.092011534
52,77.481,-147.954,23,0.57,,0.005,0.026,0.038843143,5.69E-05,0.747234614
52,77.481,-147.954,19,0.06,1.57,0.001,0.025,0.038843143,5.69E-05,0.747234614
52,77.481,-147.954,36,0.07,1.06,0.004,0.02,0.16609673,0.041779716,0.908174762
52,77.481,-147.954,60,0.37,0.79,0.054,0.025,0.019286679,0.000207229,0.95765974
52,77.481,-147.954,90,0.27,0.79,0.075,0.04,0.012322397,7.07E-05,0.264704024
52,77.481,-147.954,150,0.66,0.67,0.041,0.02,0.022085381,7.36E-05,0.247324404
52,77.481,-147.954,245,0.12,1.41,0.039,0.02,0.018020073,0.000210234,0.168776354
52,77.481,-147.954,450,0.17,0.49,0.039,0.021,0.012359143,7.97E-05,0.093068481
52,77.481,-147.954,601,0.21,1.03,0.058,0.035,0.006376912,0,0.067387516
52,77.481,-147.954,600,0.22,0.49,0.064,0.029,0.006376912,0,0.067387516
57,73.356,-156.81,21,0.06,0.65,0.001,0.081,0.002418167,1.13E-05,1.125106803
57,73.356,-156.81,20,0.24,0.56,0.015,0.011,0.002418167,1.13E-05,1.125106803
57,73.493,-156.811,66,0.61,1.68,0.021,0.034,0.00067867,1.57E-06,0.712426848
57,73.493,-156.811,58,0.65,1.22,0.011,0.023,0.00067867,1.57E-06,0.712426848
60,72.999,-158.846,25,0,1.09,0,0.022,,,3.052986889
60,72.999,-158.846,44,0.27,1.04,0.003,0.03,,,1.030578108
60,72.999,-158.846,36,0.25,1.39,0.007,0.034,,,1.030578108
61,72.798,-159.624,21,0.04,0.73,0.003,0.005,,,3.256759028
66,71.997,-162.496,13,0.05,0.59,0.003,0.008,,,5.117554539
66,71.997,-162.496,29,0.05,1.1,0.017,0.036,,,9.483191852
