STNNBR,LATITUDE,LONGITUDE,GEOTRC_SAMPNO,depth,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W
1,-12.01,-79.20,2070,3198,150.90,2,37.01,2,0.00,2,2.68,2
1,-12.01,-79.20,2069,3198,150.90,2,37.04,2,0.00,2,2.67,2
1,-12.01,-79.20,2068,3599,148.65,2,36.73,2,0.00,2,2.66,2
1,-12.01,-79.20,2020,3599,148.36,2,36.74,2,0.00,2,2.66,2
1,-12.01,-79.20,2019,3999,142.60,2,36.09,2,0.00,2,2.62,2
1,-12.01,-79.20,2018,3999,142.70,2,36.09,2,0.00,2,2.62,2
1,-12.01,-79.20,2017,4399,135.57,2,35.36,2,0.00,2,2.56,2
1,-12.01,-79.20,2016,4399,135.57,2,35.37,2,0.00,2,2.56,2
1,-12.01,-79.20,2015,4599,133.72,2,35.10,2,0.00,2,2.54,2
1,-12.01,-79.20,2014,4599,133.53,2,35.12,2,0.00,2,2.54,2
1,-12.01,-79.20,2013,4799,135.87,4,35.35,4,0.00,4,2.57,4
1,-12.01,-79.20,2012,4799,133.04,2,35.00,2,0.00,2,2.55,2
1,-12.01,-79.20,2011,5049,132.35,2,34.95,2,0.00,2,2.54,2
1,-12.01,-79.20,2010,5049,132.45,2,34.91,2,0.00,2,2.54,2
1,-12.01,-79.20,2009,5149,131.87,2,34.90,2,0.00,2,2.54,2
1,-12.01,-79.20,2008,5149,131.96,2,34.88,2,0.00,2,2.54,2
1,-12.01,-79.20,2007,5323,131.67,2,34.83,2,0.00,2,2.53,2
1,-12.01,-79.20,2006,5323,131.77,2,34.83,2,0.00,2,2.54,2
1,-12.01,-79.20,2005,5398,131.87,2,34.82,2,0.00,2,2.54,2
1,-12.01,-79.20,2004,5398,131.38,2,34.78,2,0.00,2,2.53,2
1,-12.01,-79.20,2003,5449,131.87,2,34.85,2,0.00,2,2.54,2
1,-12.01,-79.20,2002,5449,131.96,2,34.82,2,0.00,2,2.54,2
1,-12.01,-79.20,2001,5498,132.16,2,34.83,2,0.00,2,2.54,2
1,-12.01,-79.20,2000,5498,132.16,2,34.88,2,0.00,2,2.54,2
