STNNBR,lat,lon,GEOTRC_SAMPNO,depth,HgT_pM,HgT_flag,Hg0_pM,Hg0_flag,MMHg_pM,MMHg_flag,DMHg_pM,DMHg_flag
1,-12.01,-79.20,2091,2,0.03,2,,9,,9,,9
1,-12.01,-79.20,2127,20,0.49,2,0.00,2,,9,,9
1,-12.01,-79.20,2126,20,,9,,9,0.19,2,0.01,2
1,-12.01,-79.20,2125,30,0.69,2,0.17,2,,9,,9
1,-12.01,-79.20,2124,30,,9,,9,0.00,2,0.01,2
1,-12.01,-79.20,2123,45,0.51,2,0.09,2,,9,,9
1,-12.01,-79.20,2122,45,,9,,9,0.07,2,0.00,2
1,-12.01,-79.20,2121,65,0.73,2,0.03,2,,9,,9
1,-12.01,-79.20,2120,65,,9,,9,0.19,2,0.01,2
1,-12.01,-79.20,2119,80,0.98,2,0.03,2,,9,,9
1,-12.01,-79.20,2118,80,,9,,9,0.06,2,0.03,2
1,-12.01,-79.20,2117,130,,5,0.27,2,,9,,9
1,-12.01,-79.20,2116,130,,9,,9,0.22,2,0.05,2
1,-12.01,-79.20,2115,180,1.11,2,0.18,2,,9,,9
1,-12.01,-79.20,2114,180,,9,,9,0.03,2,0.11,2
1,-12.01,-79.20,2113,210,1.25,2,0.20,2,,9,,9
1,-12.01,-79.20,2112,210,,9,,9,0.15,2,0.12,2
1,-12.01,-79.20,2111,235,0.44,2,0.07,2,,9,,9
1,-12.01,-79.20,2110,235,,9,,9,0.09,2,0.10,2
1,-12.01,-79.20,2109,260,1.13,2,0.47,2,,9,,9
1,-12.01,-79.20,2108,260,,9,,9,0.02,2,0.07,2
1,-12.01,-79.20,2107,300,1.14,2,0.12,2,,9,,9
1,-12.01,-79.20,2106,300,,9,,9,0.05,2,0.22,2
1,-12.01,-79.20,2105,375,0.96,2,0.37,2,,9,,9
1,-12.01,-79.20,2239,375,1.24,3,0.21,2,,9,,9
1,-12.01,-79.20,2104,375,,9,,9,0.09,2,0.10,2
1,-12.01,-79.20,2238,375,,9,,9,0.00,2,0.11,2
1,-12.01,-79.20,2237,450,2.89,3,0.07,2,,9,,9
1,-12.01,-79.20,2236,450,,9,,9,0.04,2,0.11,2
1,-12.01,-79.20,2235,550,0.87,2,0.02,2,,9,,9
1,-12.01,-79.20,2234,550,,9,,9,0.10,2,0.12,2
1,-12.01,-79.20,2233,675,1.17,2,0.10,2,,9,,9
1,-12.01,-79.20,2232,675,,9,,9,0.00,2,0.18,2
1,-12.01,-79.20,2231,800,1.29,2,0.03,2,,9,,9
1,-12.01,-79.20,2230,800,,9,,9,0.08,2,0.08,2
1,-12.01,-79.20,2229,1000,1.27,2,0.05,2,,9,,9
1,-12.01,-79.20,2228,1000,,9,,9,0.00,2,0.19,2
1,-12.01,-79.20,2227,1200,0.88,2,0.08,2,,9,,9
1,-12.01,-79.20,2226,1200,,9,,9,0.00,2,0.11,2
1,-12.01,-79.20,2225,1600,0.73,2,0.03,2,,9,,9
1,-12.01,-79.20,2224,1600,,9,,9,0.07,2,0.03,2
1,-12.01,-79.20,2223,2000,0.82,2,0.13,2,,9,,9
1,-12.01,-79.20,2222,2000,,9,,9,0.00,2,0.02,2
1,-12.01,-79.20,2220,2100,,9,,9,0.00,2,0.03,2
1,-12.01,-79.20,2221,2400,5.13,4,0.17,2,,9,,9
1,-12.01,-79.20,2219,2800,1.16,2,0.26,2,,9,,9
1,-12.01,-79.20,2218,2800,,9,,9,0.03,2,0.05,2
1,-12.01,-79.20,2070,3200,1.34,2,0.26,2,,9,,9
1,-12.01,-79.20,2217,3200,1.32,2,0.05,3,,9,,9
1,-12.01,-79.20,2069,3200,,9,,9,0.06,2,,5
1,-12.01,-79.20,2216,3200,,9,,9,,5,0.03,2
1,-12.01,-79.20,2068,3600,1.32,2,0.15,2,,9,,9
1,-12.01,-79.20,2020,3600,,9,,9,0.07,2,0.04,2
1,-12.01,-79.20,2019,4000,1.10,2,0.14,2,,9,,9
1,-12.01,-79.20,2018,4000,,9,,9,0.06,2,0.02,2
1,-12.01,-79.20,2017,4400,1.28,2,0.18,2,,9,,9
1,-12.01,-79.20,2016,4400,,9,,9,0.04,2,0.07,2
1,-12.01,-79.20,2015,4600,1.39,2,0.10,2,,9,,9
1,-12.01,-79.20,2014,4600,,9,,9,0.07,2,0.02,2
1,-12.01,-79.20,2013,4800,0.91,6,0.46,2,,9,,9
1,-12.01,-79.20,2012,4800,,9,,9,,5,0.05,2
1,-12.01,-79.20,2011,5050,1.16,2,0.10,2,,9,,9
1,-12.01,-79.20,2010,5050,,9,,9,0.07,2,0.13,2
1,-12.01,-79.20,2009,5150,1.10,2,0.26,4,,9,,9
1,-12.01,-79.20,2008,5150,,9,,9,0.11,2,0.07,2
1,-12.01,-79.20,2007,5325,1.30,2,0.07,2,,9,,9
1,-12.01,-79.20,2006,5325,,9,,9,0.06,2,0.06,2
1,-12.01,-79.20,2005,5400,1.39,2,0.31,2,,9,,9
1,-12.01,-79.20,2004,5400,,9,,9,0.05,2,0.05,2
1,-12.01,-79.20,2003,5450,1.47,2,0.24,2,,9,,9
1,-12.01,-79.20,2002,5450,,9,,9,0.07,2,0.08,2
1,-12.01,-79.20,2001,5500,2.15,2,0.14,2,,9,,9
1,-12.01,-79.20,2000,5500,,9,,9,0.09,2,0.17,2
2,-12.04,-77.38,2293,2,0.38,2,,9,,9,,9
2,-12.04,-77.38,2263,20,0.74,2,0.14,2,,9,,9
2,-12.04,-77.38,2262,20,,9,,9,0.02,2,0.04,2
2,-12.04,-77.38,2261,38,1.89,2,0.04,2,,9,,9
2,-12.04,-77.38,2260,38,,9,,9,0.04,2,0.00,2
2,-12.04,-77.38,2259,55,2.05,2,0.31,2,,9,,9
2,-12.04,-77.38,2258,55,,9,,9,0.05,2,0.00,2
2,-12.04,-77.38,2257,70,1.29,2,0.34,2,,9,,9
2,-12.04,-77.38,2256,70,,9,,9,0.07,2,0.09,2
2,-12.04,-77.38,2255,90,0.95,2,0.27,2,,9,,9
2,-12.04,-77.38,2254,90,,9,,9,0.00,2,0.18,2
2,-12.04,-77.38,2253,110,1.62,2,0.28,2,,9,,9
2,-12.04,-77.38,2252,110,,9,,9,0.03,2,0.08,2
3,-12.05,-77.66,2343,2,0.45,2,,9,,9,,9
3,-12.05,-77.66,2309,20,0.81,2,0.13,2,,9,,9
3,-12.05,-77.66,2308,20,,9,,9,0.05,2,0.14,2
3,-12.05,-77.66,2307,30,1.49,2,0.08,2,,9,,9
3,-12.05,-77.66,2306,30,,9,,9,0.06,2,0.05,2
3,-12.05,-77.66,2305,35,1.25,2,0.28,2,,9,,9
3,-12.05,-77.66,2304,35,,9,,9,0.04,2,0.02,2
3,-12.05,-77.66,2303,50,1.01,2,0.18,2,,9,,9
3,-12.05,-77.66,2302,50,,9,,9,0.03,2,0.16,2
3,-12.05,-77.66,2301,70,9.30,4,0.13,2,,9,,9
3,-12.05,-77.66,2300,70,,9,,9,0.00,2,0.11,2
3,-12.05,-77.66,2299,90,1.10,2,0.27,2,,9,,9
3,-12.05,-77.66,2298,90,,9,,9,0.10,2,0.17,2
3,-12.05,-77.66,2297,130,0.94,2,0.13,2,,9,,9
3,-12.05,-77.66,2296,130,,9,,9,0.03,2,0.07,2
3,-12.05,-77.66,2295,170,1.34,2,0.10,2,,9,,9
3,-12.05,-77.66,2294,170,,9,,9,0.05,2,0.11,2
4,-12.04,-77.82,2400,2,0.57,2,,9,,9,,9
4,-12.04,-77.82,2367,20,0.64,2,0.09,2,,9,,9
4,-12.04,-77.82,2366,20,,9,,9,0.08,2,0.01,2
4,-12.04,-77.82,2365,48,0.50,2,0.19,2,,9,,9
4,-12.04,-77.82,2364,48,,9,,9,0.00,2,0.03,2
4,-12.04,-77.82,2363,65,1.15,2,0.05,2,,9,,9
4,-12.04,-77.82,2362,65,,9,,9,0.10,2,0.15,2
4,-12.04,-77.82,2361,110,0.73,2,0.07,2,,9,,9
4,-12.04,-77.82,2360,110,,9,,9,0.00,2,0.01,2
4,-12.04,-77.82,2359,140,1.23,2,0.20,2,,9,,9
4,-12.04,-77.82,2358,140,,9,,9,,5,0.10,2
