STNNBR,depth,lat,lon,HgT_pM,Hg0_pM,MMHg_pM,DMHg_pM,SILCAT,NITRAT,NITRIT,PHSPHT,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM
1,20,-12.01,-79.2,0.49,0,0.19,0.01,2.63,7.495,0.6,0.965,20,17.63,35.18333333,255.7666667,4.62,0.386666667
1,30,-12.01,-79.2,0.69,0.17,0,0.01,2.1,7.78,0.62,1.05,30,17.49333333,35.19333333,252.6666667,4.663333333,0.44
1,45,-12.01,-79.2,0.51,0.09,0.07,0,1.27,7.42,0.6,1.31,45,17.29333333,35.19,247.1333333,4.726666667,0.25
1,80,-12.01,-79.2,0.98,0.03,0.06,0.03,21.42,17.74,3.14,2.635,80,14.18666667,34.95666667,23.03333333,4.753333333,0.066666667
1,235,-12.01,-79.2,0.44,0.07,0.09,0.1,31.28,14.785,8.955,2.54,236,12.23,34.87,6.266666667,4.79,0.02
1,300,-12.01,-79.2,1.14,0.12,0.05,0.22,30.89,23.615,5.505,2.575,301,11.39,34.81666667,6.4,4.793333333,0.02
1,375,-12.01,-79.2,1.1,0.29,0.045,0.105,33.405,34.78,0,2.7675,377,10.03666667,34.72,6.366666667,4.81,0.02
1,550,-12.01,-79.2,0.87,0.02,0.1,0.12,48.27,43.145,0,3.14,553,7.405,34.58,9.3,4.82,0.02
1,800,-12.01,-79.2,1.29,0.03,0.08,0.08,68.72,45.62,0,3.26,805,5.48,34.535,28.55,4.83,0.02
1,1200,-12.01,-79.2,0.88,0.08,0,0.11,102.155,42.435,0,3.095,1209,3.8,34.565,69.25,4.83,0.02
1,1600,-12.01,-79.2,0.73,0.03,0.07,0.03,129.87,40.71,0,2.995,1614,2.79,34.615,90.4,4.83,0.02
2,20,-12.04,-77.38,0.74,0.14,0.02,0.04,10.975,14.03,1.31,2.145,20,14.29,34.95,46.4,4.65,0.21
2,38,-12.04,-77.38,1.89,0.04,0.04,0,16.1,17.505,0.69,2.44,38,13.77,34.93,16.9,4.67,0.15
2,55,-12.04,-77.38,2.05,0.31,0.05,0,21.81,20.875,0.36,2.605,55,13.22,34.93,7,4.74,0.05
2,70,-12.04,-77.38,1.29,0.34,0.07,0.09,30.11,17.33,5.005,2.505,70,13.09,34.93,6.6,4.71,0.05
2,90,-12.04,-77.38,0.95,0.27,0,0.18,33.13,17.075,5.61,2.49,90,13,34.93,6.1,4.74,0.04
2,110,-12.04,-77.38,1.62,0.28,0.03,0.08,47.82,1.08,4.91,2.54,110,12.88,34.92,5.9,4.51,0.09
3,20,-12.05,-77.66,0.81,0.13,0.05,0.14,19.37,19.08,1.145,2.565,20,14.54,34.96,29.8,4.73,0.11
3,30,-12.05,-77.66,1.49,0.08,0.06,0.05,23.765,14.935,3.085,2.605,30,13.72,34.9,12.3,4.76,0.07
3,50,-12.05,-77.66,1.01,0.18,0.03,0.16,33.375,6.15,9.295,2.51,50,13.63,34.96,6.8,4.76,0.03
3,90,-12.05,-77.66,1.1,0.27,0.1,0.17,31.18,11.635,8.82,2.53,90,13.11,34.93,6.1,4.76,0.02
3,130,-12.05,-77.66,0.94,0.13,0.03,0.07,31.81,11.74,9.45,2.55,131,12.88,34.92,5.9,4.77,0.02
4,20,-12.04,-77.82,0.64,0.09,0.08,0.01,4.245,12.425,0.555,1.82,20,15.56,34.97,185,4.69,0.19
4,110,-12.04,-77.82,0.73,0.07,0,0.01,32.06,8.595,10.57,2.525,110,13.21,34.93,6.7,4.77,0.02
4,140,-12.04,-77.82,1.23,0.2,,0.1,30.55,13.365,8.71,2.52,141,12.87,34.91,6.5,4.77,0.02
4,300,-12.04,-77.82,1.14,0.17,0,0.06,33.915,27.17,3.715,2.675,301,10.73,34.77,6.1,4.79,0.02
5,20,-12.04,-78.17,0.47,0.19,0.08,,4.88,11.555,0.455,1.365,20,17.105,35.01,252.15,4.515,0.77
5,75,-12.04,-78.17,2.5,0.145,0.09,0.07,32.01,4.23,9.555,2.455,75,13.83,34.96,8.8,4.73,0.155
5,150,-12.04,-78.17,0.78,0.05,0.11,0.03,-485.545,-488.84,-497.565,-498.305,151,12.94,34.92,6.5,4.785,0.02
5,200,-12.04,-78.17,0.74,0.06,0.08,0.03,29.96,18.84,6.355,2.45,201,12.285,34.87,6.2,4.79,0.02
5,380,-12.04,-78.17,1.01,0.19,0.29,0.18,36.02,33.18,1.385,2.725,382,9.46,34.685,6.25,4.805,0.02
5,500,-12.04,-78.17,1.07,0.055,0.115,0.1,46.56,41.775,0,3.055,503,7.79,34.595,7.55,4.82,0.02
5,600,-12.04,-78.17,0.77,0.17,0.05,,56.57,44.165,0,3.175,604,6.83,34.57,8.9,4.82,0.02
5,1000,-12.04,-78.17,0.9,0.09,0.11,0.12,90.295,43.25,0,3.17,1007,4.33,34.55,56.3,4.83,0.02
5,1200,-12.04,-78.17,3,0.07,0.13,0.09,108.305,41.63,0.03,3.1,1209,3.54,34.57,71.5,4.83,0.02
5,1600,-12.04,-78.17,0.83,0.19,0.1,0.02,136.705,40.21,0,3.015,1614,2.6,34.62,94.2,4.83,0.02
5,1800,-12.04,-78.17,0.45,0.22,0.18,0.06,141.68,39.58,0,2.975,1817,2.4,34.63,98.5,4.82,0.02
5,2000,-12.04,-78.17,0.81,0.21,0.06,0.02,145.875,39.17,0,2.95,2019,2.28,34.64,106.5,4.82,0.02
5,2050,-12.04,-78.17,0.68,0.25,0.04,0.03,147.145,39.13,0,2.94,2070,2.24,34.64,106.3,4.81,0.02
6,20,-12,-81.5,0.21,0.02,0.19,0,4.05,14.69,0.52,1.325,20,18.15,35.13,252.7,4.68,0.23
6,50,-12,-81.5,0.22,0.1,0.02,0,3.95,9.29,0.605,1.255,50,17.21,35.22,241.7,4.75,0.24
6,95,-12,-81.5,0.4,0.19,0.18,0.01,18.3,22.25,0.56,2.49,95,14.13,34.93,11.7,4.74,0.18
6,150,-12,-81.5,0.55,0.03,0,0.07,28.01,18.845,3.875,2.535,151,12.71,34.89,5.8,4.77,0.02
7,20,-12,-84,0.27,0.02,0.06,0,4.73,14.28,0.42,1.015,20,18.91666667,35.28666667,247.3,4.686666667,0.31
7,40,-12,-84,0.33,0.01,0.03,0,4.73,14.29,0.425,1.005,40,18.83,35.28666667,246.2333333,4.7,0.296666667
7,60,-12,-84,0.39,0.04,0.04,0,4.68,14.34,0.42,1,60,18.06333333,35.28333333,238.2333333,4.753333333,0.22
7,80,-12,-84,0.28,0.05,0.03,0,7.075,17.705,0.865,1.59,80,16.86,35.15333333,182.6333333,4.78,0.093333333
7,110,-12,-84,0.63,0.25,0.06,0.01,25.03,18.505,3.145,2.49,110,13.66666667,34.93,8.633333333,4.743333333,0.176666667
7,150,-12,-84,0.9,0.29,0.13,0.06,27.72,21.135,3.64,2.475,151,12.91666667,34.92,7,4.773333333,0.02
7,300,-12,-84,0.76,0.1,0.22,0.05,33.33,22.67,7,2.635,301,10.87,34.78333333,6.333333333,4.79,0.02
7,350,-12,-84,0.79,0.05,0.04,0.16,34.26,32.23,1.355,2.72,352,10.08333333,34.72666667,6.2,4.803333333,0.02
7,400,-12,-84,0.695,0.04,0.17,0.105,37.555,37.1,0,2.8225,402,9.336666667,34.68333333,6.333333333,4.81,0.02
7,450,-12,-84,0.75,0.02,0.09,0.05,40.9,39.94,0,2.935,452,8.583333333,34.63333333,6.7,4.82,0.02
7,500,-12,-84,0.84,0.03,0.17,0.11,42.51,41.435,0,2.94,503,7.94,34.59666667,9.733333333,4.82,0.02
7,625,-12,-84,0.63,0.02,0.19,0.09,52.075,44.29,0,3.115,629,6.7,34.55,16.9,4.82,0.02
7,750,-12,-84,0.7,0.05,0.03,0.14,63.21,45.705,0,3.21,755,5.806666667,34.53,23.16666667,4.82,0.02
7,1000,-12,-84,0.71,0.02,0.09,0.15,84.975,43.515,0,3.12,1007,4.433333333,34.53666667,59.8,4.83,0.02
7,1500,-12,-84,0.71,0.03,0.03,0.13,123.92,41.105,0,3.015,1513,2.993333333,34.59333333,85.66666667,4.83,0.02
7,1750,-12,-84,0.75,0.02,0.03,0.02,134.995,39.96,0,2.925,1766,2.58,34.62,103.35,4.83,0.02
7,2250,-12,-84,0.97,0.01,0.05,0.15,144.95,38.34,0,2.785,2273,2.065,34.65,124.7,4.835,0.02
7,2750,-12,-84,1.34,0.11,0.05,0.14,147.195,37.38,0,2.755,2782,1.82,34.67,143.3,4.84,0.02
7,3000,-12,-84,1.01,0.05,0.13,0.12,148.215,37.225,0,2.745,3036,1.8,34.67,147.3,4.84,0.02
7,3500,-12,-84,1.29,0.05,0.09,0.06,139.285,36.125,0,2.65,3547,1.78,34.68,163.4,4.84,0.01
7,3750,-12,-84,1.65,0.04,0.17,0.09,137.09,35.875,0,2.63,3802,1.77,34.68,168.3,4.84,0.01
7,4500,-12,-84,1.38,0.19,0.02,0.09,136.015,35.71,0,2.615,4570,1.83,34.68,175.6,4.84,0.01
7,4550,-12,-84,2.07,0.08,,,136.21,35.655,0,2.61,4622,1.84,34.68,176.2,4.84,0.01
8,20,-12,-86.52,0.52,0.01,0.07,0,4.39,12.26,0.39,1.09,20,18.94,35.39,247.7,4.67,0.17
8,50,-12,-86.52,0.36,0.01,0.06,0,4.2,12.485,0.51,1.215,50,18.04,35.3,243.9,4.71,0.36
