STNNBR,lat,lon,depth,HgP_pmol_ug,HgP_flag,MMHgP_pmol_ug,MMHgP_flag,POC_umolC_L,POC_sink_flag,POC_susp_flag
1,-12.01,-79.20,15,0.00,2,0.00,2,3.96,0,0
1,-12.01,-79.20,35,0.00,2,0.00,2,2.89,0,0
1,-12.01,-79.20,60,0.00,2,0.00,2,1.44,0,0
1,-12.01,-79.20,80,0.00,2,0.00,2,2.24,0,0
1,-12.01,-79.20,180,0.00,2,0.00,2,0.68,0,0
1,-12.01,-79.20,210,0.00,2,0.00,2,0.77,0,0
1,-12.01,-79.20,235,0.00,2,0.00,2,0.69,0,0
1,-12.01,-79.20,300,0.01,2,0.09,2,0.58,0,0
1,-12.01,-79.20,450,0.01,2,0.00,2,0.36,0,0
1,-12.01,-79.20,550,0.01,2,0.20,2,0.20,0,0
1,-12.01,-79.20,800,0.02,2,0.41,2,0.18,0,0
1,-12.01,-79.20,1200,0.01,6,0.00,2,0.19,0,0
1,-12.01,-79.20,1600,0.02,2,0.21,2,0.16,0,0
1,-12.01,-79.20,2400,0.02,2,0.00,2,0.15,0,0
1,-12.01,-79.20,2800,0.03,2,0.00,2,0.12,0,0
1,-12.01,-79.20,3200,0.05,2,0.00,2,0.13,0,0
1,-12.01,-79.20,3600,0.10,2,0.00,2,0.12,0,0
1,-12.01,-79.20,4200,0.06,2,0.00,2,0.10,0,0
1,-12.01,-79.20,4800,0.03,2,0.00,2,0.09,0,0
1,-12.01,-79.20,5080,0.03,2,0.00,2,0.11,0,0
1,-12.01,-79.20,5325,0.02,2,0.00,2,0.14,0,0
1,-12.01,-79.20,5400,0.02,2,0.00,2,0.15,0,0
1,-12.01,-79.20,5450,0.02,2,0.00,6,0.17,0,0
1,-12.01,-79.20,5525,0.00,2,0.00,2,0.19,0,0
2,-12.04,-77.38,15,,5,,3,11.12,8,8
2,-12.04,-77.38,38,0.00,2,0.00,2,3.27,0,0
2,-12.04,-77.38,55,0.00,2,0.02,2,4.23,0,0
2,-12.04,-77.38,70,0.00,2,0.00,2,2.41,0,0
2,-12.04,-77.38,108,0.00,2,0.04,2,2.41,0,0
3,-12.05,-77.66,20,,5,,3,11.27,8,8
3,-12.05,-77.66,35,0.00,2,0.00,2,3.13,0,0
3,-12.05,-77.66,65,0.00,2,0.04,2,1.97,0,0
