STNNBR,depth,lat,lon,HgP_pmol_ug,MMHgP_pmol_ug,POC_umolC_L,HgT_pM,Hg0_pM,MMHg_pM,DMHg_pM,SILCAT,NITRAT,NITRIT,PHSPHT,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM
1,20,-12.01,-79.2,0.0,0.0,3.96,0.49,0.0,0.19,0.01,2.63,7.495,0.6,0.965,20.0,17.63,35.18333333,255.7666667,4.62,0.386666667
1,30,-12.01,-79.2,0.0,0.0,2.89,0.69,0.17,0.0,0.01,2.1,7.78,0.62,1.05,30.0,17.49333333,35.19333333,252.66666669999998,4.663333333,0.44
1,80,-12.01,-79.2,0.0,0.0,2.24,0.98,0.03,0.06,0.03,21.42,17.74,3.14,2.635,80.0,14.18666667,34.95666667,23.03333333,4.7533333330000005,0.066666667
1,235,-12.01,-79.2,0.0,0.0,0.69,0.44,0.07,0.09,0.1,31.28,14.785,8.955,2.54,236.0,12.23,34.87,6.266666667000001,4.79,0.02
1,300,-12.01,-79.2,0.01,0.09,0.58,1.14,0.12,0.05,0.22,30.89,23.615,5.505,2.575,301.0,11.39,34.81666667,6.4,4.7933333330000005,0.02
1,550,-12.01,-79.2,0.01,0.2,0.2,0.87,0.02,0.1,0.12,48.27,43.145,0.0,3.14,553.0,7.405,34.58,9.3,4.82,0.02
1,800,-12.01,-79.2,0.02,0.41,0.18,1.29,0.03,0.08,0.08,68.72,45.62,0.0,3.26,805.0,5.48,34.535,28.55,4.83,0.02
1,1200,-12.01,-79.2,0.01,0.0,0.19,0.88,0.08,0.0,0.11,102.155,42.435,0.0,3.095,1209.0,3.8,34.565,69.25,4.83,0.02
1,1600,-12.01,-79.2,0.02,0.21,0.16,0.73,0.03,0.07,0.03,129.87,40.71,0.0,2.995,1614.0,2.79,34.615,90.4,4.83,0.02
2,20,-12.04,-77.38,,,11.12,0.74,0.14,0.02,0.04,10.975,14.03,1.31,2.145,20.0,14.29,34.95,46.4,4.65,0.21
2,38,-12.04,-77.38,0.0,0.0,3.27,1.89,0.04,0.04,0.0,16.1,17.505,0.69,2.44,38.0,13.77,34.93,16.9,4.67,0.15
2,55,-12.04,-77.38,0.0,0.02,4.23,2.05,0.31,0.05,0.0,21.81,20.875,0.36,2.605,55.0,13.22,34.93,7.0,4.74,0.05
2,70,-12.04,-77.38,0.0,0.0,2.41,1.29,0.34,0.07,0.09,30.11,17.33,5.005,2.505,70.0,13.09,34.93,6.6,4.71,0.05
2,110,-12.04,-77.38,0.0,0.04,2.41,1.62,0.28,0.03,0.08,47.82,1.08,4.91,2.54,110.0,12.88,34.92,5.9,4.51,0.09
3,20,-12.05,-77.66,,,11.27,0.81,0.13,0.05,0.14,19.37,19.08,1.145,2.565,20.0,14.54,34.96,29.8,4.73,0.11
3,30,-12.05,-77.66,0.0,0.0,3.13,1.49,0.08,0.06,0.05,23.765,14.935,3.085,2.605,30.0,13.72,34.9,12.3,4.76,0.07
3,90,-12.05,-77.66,0.0,0.0,1.4,1.1,0.27,0.1,0.17,31.18,11.635,8.82,2.53,90.0,13.11,34.93,6.1,4.76,0.02
4,20,-12.04,-77.82,0.0,,2.37,0.64,0.09,0.08,0.01,4.245,12.425,0.555,1.82,20.0,15.56,34.97,185.0,4.69,0.19
4,110,-12.04,-77.82,0.0,0.04,1.43,0.73,0.07,0.0,0.01,32.06,8.595,10.57,2.525,110.0,13.21,34.93,6.7,4.77,0.02
4,300,-12.04,-77.82,0.0,0.08,0.82,1.14,0.17,0.0,0.06,33.915,27.17,3.715,2.675,301.0,10.73,34.77,6.1,4.79,0.02
5,20,-12.04,-78.17,0.0,0.03,3.32,0.47,0.19,0.08,,4.88,11.555,0.455,1.365,20.0,17.105,35.01,252.15,4.515,0.77
5,75,-12.04,-78.17,0.01,0.0,1.79,2.5,0.145,0.09,0.07,32.01,4.23,9.555,2.455,75.0,13.83,34.96,8.8,4.73,0.155
5,200,-12.04,-78.17,0.02,0.0,0.79,0.74,0.06,0.08,0.03,29.96,18.84,6.355,2.45,201.0,12.285,34.87,6.2,4.79,0.02
5,600,-12.04,-78.17,0.01,0.32,0.24,0.77,0.17,0.05,,56.57,44.165,0.0,3.175,604.0,6.83,34.57,8.9,4.82,0.02
5,1200,-12.04,-78.17,0.01,0.0,0.24,3.0,0.07,0.13,0.09,108.305,41.63,0.03,3.1,1209.0,3.54,34.57,71.5,4.83,0.02
