Year,sta,depth,lat,lon,Hg_total,Hg_total_flag,Hg0,Hg0_flag,MMHg_fM,MMHg_flag,DMHg_fM,DMHg_flag
2010,1,2,38.32,-9.66,,5,0.05,3,23.00,2,,4
2010,1,24,38.32,-9.66,2.94,4,,5,36.00,2,,4
2010,1,35,38.32,-9.66,2.01,4,,5,34.00,2,,4
2010,1,40,38.32,-9.66,1.65,4,,5,30.00,2,,4
2010,1,68,38.32,-9.66,1.01,4,0.29,3,39.00,2,,4
2010,1,136,38.32,-9.66,2.17,4,0.28,3,33.00,2,,4
2010,1,199,38.32,-9.66,1.75,4,0.25,3,47.00,2,,4
2010,1,300,38.32,-9.66,2.33,4,0.35,3,119.00,2,,4
2010,1,401,38.32,-9.66,2.20,4,0.37,3,111.00,2,,4
2010,1,502,38.32,-9.66,0.96,4,0.22,3,52.00,2,,4
2010,1,642,38.32,-9.66,2.55,4,0.20,3,71.00,2,,4
2010,1,777,38.32,-9.66,1.52,4,0.30,3,61.00,2,,4
2010,1,876,38.32,-9.66,1.78,4,0.76,3,,4,,4
2010,1,900,38.33,-9.66,1.61,4,0.58,3,,4,0.13,4
2010,1,990,38.33,-9.66,1.83,4,0.64,3,,4,,4
2010,1,1150,38.33,-9.66,,5,0.85,3,,4,,4
2010,1,1293,38.33,-9.66,1.54,4,0.65,3,27.00,2,,4
2010,1,1480,38.33,-9.66,,5,0.56,3,24.00,2,,4
2010,1,1701,38.33,-9.66,,5,0.90,3,20.00,2,,4
2010,1,1901,38.33,-9.66,,5,0.59,3,26.00,2,,4
2010,1,2101,38.33,-9.66,1.92,4,0.58,3,,4,,4
2010,1,2301,38.33,-9.66,2.54,4,0.67,3,29.00,2,,4
2010,1,2501,38.33,-9.66,,5,0.52,3,,4,,4
2010,1,2601,38.33,-9.66,0.67,4,0.86,3,21.00,2,,4
2010,1,2701,38.33,-9.66,1.27,4,0.92,3,21.00,2,,4
2010,2,2,36.76,-12.83,,5,,5,,4,,4
2010,2,49,36.76,-12.83,,5,,5,,4,,4
2010,2,102,36.76,-12.83,,5,,5,,4,,4
2010,2,141,36.76,-12.83,,5,,5,,4,,4
2010,2,201,36.76,-12.83,,5,,5,,4,,4
2010,2,251,36.76,-12.83,,5,,5,,4,,4
2010,2,359,36.76,-12.83,,5,,5,,4,,4
2010,2,501,36.76,-12.83,,5,,5,,4,,4
2010,2,662,36.76,-12.83,,5,,5,,4,,4
2010,2,821,36.76,-12.83,,5,,5,,4,,4
2010,2,902,36.76,-12.83,,5,,5,,4,,4
2010,2,1051,36.76,-12.83,,5,,5,,4,,4
2010,2,1201,36.76,-12.83,,5,,5,,4,,4
2010,3,2,35.20,-16.00,0.12,4,0.01,2,35.00,2,,4
2010,3,35,35.20,-16.00,0.57,4,0.07,2,36.00,2,,4
2010,3,51,35.20,-16.00,,5,0.08,2,53.00,2,,4
2010,3,77,35.20,-16.00,0.50,4,0.06,2,84.00,2,,4
2010,3,100,35.20,-16.00,0.20,4,0.16,2,,4,,4
2010,3,136,35.20,-16.00,0.43,4,0.17,2,93.00,2,,4
2010,3,191,35.20,-16.00,0.55,4,0.18,2,69.00,2,,4
2010,3,301,35.20,-16.00,0.29,4,0.23,2,69.00,2,,4
2010,3,401,35.20,-16.00,0.64,4,0.24,2,65.00,2,,4
2010,3,490,35.20,-16.00,0.04,4,0.32,2,110.00,2,0.24,4
2010,3,611,35.20,-16.00,,5,0.37,2,150.00,2,,4
2010,3,777,35.20,-16.00,1.74,4,0.39,2,215.00,2,,4
2010,3,876,35.20,-16.00,0.38,4,0.47,2,192.00,2,,4
2010,3,994,35.20,-16.00,0.17,4,,5,146.00,2,0.27,4
2010,3,1051,35.20,-16.00,0.80,4,,5,94.00,2,0.47,4
2010,3,1201,35.20,-16.00,0.86,4,,5,,4,0.10,4
2010,3,1351,35.20,-16.00,0.21,4,,5,65.00,2,0.47,4
2010,3,1501,35.20,-16.00,0.08,4,,5,61.00,2,,4
2010,3,1701,35.20,-16.00,0.94,4,,5,,4,,4
2010,3,1901,35.20,-16.00,0.89,4,,5,,4,,4
2010,3,2101,35.20,-16.00,0.65,4,,5,51.00,2,,4
2010,3,2300,35.20,-16.00,0.62,4,,5,34.00,2,,4
2010,3,2501,35.20,-16.00,0.22,4,,5,21.00,2,,4
2010,3,2601,35.20,-16.00,0.30,4,,5,,4,,4
2010,3,2681,35.20,-16.00,0.86,4,,5,53.00,2,,4
2010,5,2,31.00,-22.00,0.30,2,0.09,2,25.00,2,,4
2010,5,31,31.00,-22.00,1.18,2,0.12,2,32.00,2,,4
2010,5,52,31.00,-22.00,0.59,2,0.09,2,25.00,2,,4
2010,5,81,31.00,-22.00,0.39,2,0.10,2,23.00,2,,4
2010,5,101,31.00,-22.00,0.43,2,0.10,2,29.00,2,,4
2010,5,136,31.00,-22.00,0.55,2,0.15,2,35.00,2,,4
2010,5,187,31.00,-22.00,0.61,2,0.23,2,29.00,2,,4
2010,5,251,31.00,-22.00,0.62,2,0.20,2,30.00,2,,4
2010,5,351,31.00,-22.00,0.59,2,0.20,2,50.00,2,,4
2010,5,553,31.00,-22.00,0.71,2,0.24,2,73.00,2,,4
2010,5,802,31.00,-22.00,0.98,2,0.38,2,76.00,2,,4
2010,5,963,31.00,-22.00,0.87,5,0.39,2,139.00,2,,4
2010,5,1202,31.00,-22.00,0.68,2,0.37,2,117.00,2,,4
2010,5,1501,31.01,-22.00,0.78,2,0.37,2,50.00,2,,4
2010,5,1800,31.01,-22.00,0.89,2,0.33,2,47.00,2,46.00,4
2010,5,2100,31.01,-22.00,0.79,2,0.34,2,56.00,2,,4
2010,5,2401,31.01,-22.00,0.88,2,0.37,2,33.00,2,,4
2010,5,2701,31.01,-22.00,0.91,2,0.36,2,18.00,2,,4
2010,5,3001,31.01,-22.00,0.93,2,0.40,2,,4,,4
2010,5,3301,31.01,-22.00,0.91,2,0.38,2,24.00,2,298.00,4
2010,5,3600,31.01,-22.00,0.88,2,0.35,2,20.00,2,205.00,4
2010,5,3899,31.01,-22.00,1.01,2,0.32,2,33.00,2,182.00,4
2010,5,4199,31.01,-22.00,0.93,2,0.35,2,21.00,2,,4
2010,5,4549,31.01,-22.00,0.87,2,0.36,2,,4,,4
2010,5,4899,31.01,-22.00,,2,0.37,2,24.00,2,,4
2010,6,2,27.52,-22.00,0.18,2,0.06,2,,4,30.00,4
