Year,STNNBR,DEPTH,lat,lon,Hg_total,Hg0,MMHg_fM,DMHg_fM,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM,SILCAT,NITRAT,NITRIT,PHSPHT
2010,1,24,38.32,-9.66,2.94,,36,,24,19.11425,36.1221,233.5,4.48045,0.1885,0.49,0,0,0.01
2010,1,24,38.32,-9.66,2.94,,36,,24,19.11425,36.1221,233.5,4.48045,0.1885,0.49,0,0,0.01
2010,1,35,38.32,-9.66,2.01,,34,,35,18.8331,36.21075,235,4.50975,0.288,0.58,0.06,0.03,0.09
2010,1,35,38.32,-9.66,2.01,,34,,35,18.8331,36.21075,235,4.50975,0.288,0.68,0.04,0.02,0.05
2010,1,40,38.32,-9.66,1.65,,30,,40,18.54365,36.2169,237.3,4.51895,0.264,0.78,0.1,0.05,0.07
2010,1,40,38.32,-9.66,1.65,,30,,40,18.54365,36.2169,237.3,4.51895,0.264,0.68,0.1,0.05,0.05
2010,1,68,38.32,-9.66,1.01,0.29,39,,68,16.7769,36.22315,228.25,4.59675,0.1505,0.88,0.61,0.09,0.11
2010,1,68,38.32,-9.66,1.01,0.29,39,,68,16.7769,36.22315,228.25,4.59675,0.1505,0.78,0.64,0.09,0.11
2010,1,136,38.32,-9.66,2.17,0.28,33,,137,15.19465,36.1498,212.05,4.64345,0.0255,1.76,5.5,0,0.38
2010,1,136,38.32,-9.66,2.17,0.28,33,,137,15.19465,36.1498,212.05,4.64345,0.0255,1.76,5.44,0.01,0.39
2010,1,199,38.32,-9.66,1.75,0.25,47,,200,14.0739,35.9762,207.65,4.6508,0.0045,2.54,7.57,0,0.52
2010,1,199,38.32,-9.66,1.75,0.25,47,,200,14.0739,35.9762,207.65,4.6508,0.0045,2.63,7.54,0,0.5
2010,1,300,38.32,-9.66,2.33,0.35,119,,302,13.07565,35.81725,204.95,4.65385,0.004,3.51,10.11,0,0.64
2010,1,300,38.32,-9.66,2.33,0.35,119,,302,13.07565,35.81725,204.95,4.65385,0.004,3.41,10.08,0,0.64
2010,1,401,38.32,-9.66,2.2,0.37,111,,404,12.29865,35.73825,197.85,4.641,0.0045,4.78,12.39,0,0.79
2010,1,401,38.32,-9.66,2.2,0.37,111,,404,12.29865,35.73825,197.85,4.641,0.0045,4.68,12.4,0,0.79
2010,1,502,38.32,-9.66,0.96,0.22,52,,506,11.81405,35.8341,185.8,4.6404,0.004,6.24,13.43,0,0.85
2010,1,502,38.32,-9.66,0.96,0.22,52,,506,11.81405,35.8341,185.8,4.6404,0.004,6.24,13.28,0,0.84
2010,1,642,38.32,-9.66,2.55,0.2,71,,648,12.93485,36.3099,191.5,4.60745,0.005,5.07,10.59,0,0.65
2010,1,642,38.32,-9.66,2.55,0.2,71,,648,12.93485,36.3099,191.5,4.60745,0.005,5.26,10.66,0,0.66
2010,1,777,38.32,-9.66,1.52,0.3,61,,784,12.8688,36.3414,190.3,4.60135,0.005,5.75,11.26,0,0.69
2010,1,777,38.32,-9.66,1.52,0.3,61,,784,12.8688,36.3414,190.3,4.60135,0.005,5.65,11.21,0,0.69
2010,1,876,38.32,-9.66,1.78,0.76,,,884,12.5199,36.32035,184.95,4.6093,0.005,6.34,12.21,0,0.76
2010,1,876,38.32,-9.66,1.78,0.76,,,884,12.5199,36.32035,184.95,4.6093,0.005,6.34,12.15,0,0.76
2010,1,900,38.33,-9.66,1.61,0.58,,0.13,909,12.5434,36.362,188.6,4.6154,0.004,6.63,12.2,0,0.74
2010,1,900,38.33,-9.66,1.61,0.58,,0.13,909,12.5434,36.362,188.6,4.6154,0.004,6.73,12.21,0,0.74
2010,1,990,38.33,-9.66,1.83,0.64,,,1000,12.5659,36.4571,187,4.6239,0.005,6.63,12.07,0,0.73
2010,1,990,38.33,-9.66,1.83,0.64,,,1000,12.5659,36.4571,187,4.6239,0.005,6.53,12.08,0,0.74
2010,1,1150,38.33,-9.66,,0.85,,,1162,12.5304,36.5157,185.3,4.6276,0.005,7.02,12.33,0,0.75
2010,1,1150,38.33,-9.66,,0.85,,,1162,12.5304,36.5157,185.3,4.6276,0.005,7.02,12.33,0,0.75
2010,1,1293,38.33,-9.66,1.54,0.65,27,,1307,11.1714,36.2702,178.8,4.6471,0.005,9.16,14.6,0,0.92
2010,1,1293,38.33,-9.66,1.54,0.65,27,,1307,11.1714,36.2702,178.8,4.6471,0.005,9.26,14.59,0,0.93
2010,1,1480,38.33,-9.66,,0.56,24,,1496,10.8176,36.2999,185.5,4.641,0.005,9.94,14.58,0,0.93
2010,1,1480,38.33,-9.66,,0.56,24,,1496,10.8176,36.2999,185.5,4.641,0.005,9.65,14.58,0,0.92
2010,1,1701,38.33,-9.66,,0.9,20,,1721,7.1471,35.6033,213.8,4.6532,0.005,14.73,17.13,0,1.13
2010,1,1701,38.33,-9.66,,0.9,20,,1721,7.1471,35.6033,213.8,4.6532,0.005,14.83,17.11,0,1.13
2010,1,1901,38.33,-9.66,,0.59,26,,1924,5.4015,35.3057,231.1,4.6581,0.004,18.24,17.97,0,1.21
2010,1,1901,38.33,-9.66,,0.59,26,,1924,5.4015,35.3057,231.1,4.6581,0.004,18.34,17.99,0,1.21
2010,1,2101,38.33,-9.66,1.92,0.58,,,2127,4.3907,35.149,239.6,4.6618,0.005,21.76,18.6,0,1.26
2010,1,2101,38.33,-9.66,1.92,0.58,,,2127,4.3907,35.149,239.6,4.6618,0.005,21.66,18.59,0,1.27
2010,1,2301,38.33,-9.66,2.54,0.67,29,,2331,3.902,35.0852,240.7,4.652,0.004,25.96,19.16,0,1.32
2010,1,2301,38.33,-9.66,2.54,0.67,29,,2331,3.902,35.0852,240.7,4.652,0.004,25.86,19.17,0,1.32
2010,1,2501,38.33,-9.66,,0.52,,,2535,3.3068,35.0043,243.1,4.6703,0.005,29.37,19.68,0,1.36
2010,1,2501,38.33,-9.66,,0.52,,,2535,3.3068,35.0043,243.1,4.6703,0.005,29.27,19.7,0,1.36
2010,1,2601,38.33,-9.66,0.67,0.86,21,,2637,3.1478,34.9847,243.5,4.6697,0.005,31.52,19.96,0,1.38
2010,1,2601,38.33,-9.66,0.67,0.86,21,,2637,3.1478,34.9847,243.5,4.6697,0.005,31.62,19.93,0,1.37
2010,1,2701,38.33,-9.66,1.27,0.92,21,,2739,2.9667,34.9646,243.2,4.6716,0.005,33.67,20.08,0,1.39
2010,1,2701,38.33,-9.66,1.27,0.92,21,,2739,2.9667,34.9646,243.2,4.6716,0.005,33.96,20.14,0,1.4
2010,2,49,36.76,-12.83,,,,,49,21.1178,36.5255,221.4,4.6161,0.042,0.39,0,0,0.03
2010,2,49,36.76,-12.83,,,,,49,21.1178,36.5255,221.4,4.6161,0.042,0.39,0,0,0.01
2010,2,102,36.76,-12.83,,,,,103,16.0502,36.1522,234.6,4.61,0.179,0.88,1.04,0.13,0.13
