Year,STNNBR,DEPTH,lat,lon,Hg_total,Hg0,MMHg_fM,DMHg_fM,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM,SILCAT,NITRAT,NITRIT,PHSPHT,HgP_pmol_ug,MMHgP_pmol_ug,POC_ugram_L
2010,1,35,38.32,-9.66,2.01,,34.0,,35.0,18.8331,36.21075,235.0,4.50975,0.28800000000000003,0.63,0.05,0.025,0.06999999999999999,0.001913451,0.0041117935000000005,35.388949499999995
2010,1,136,38.32,-9.66,2.17,0.28,33.0,,137.0,15.19465,36.1498,212.05,4.64345,0.0255,1.76,5.470000000000001,0.005,0.385,,0.015669354,4.9189
2010,1,1150,38.33,-9.66,,0.85,,,1162.0,12.5304,36.5157,185.3,4.6276,0.005,7.02,12.33,0.0,0.75,,,
2010,1,2101,38.33,-9.66,1.92,0.58,,,2127.0,4.3907,35.149,239.6,4.6618,0.005,21.71,18.595,0.0,1.2650000000000001,0.001175275,0.021154955,1.2040620000000002
2010,1,2701,38.33,-9.66,1.27,0.92,21.0,,2739.0,2.9667,34.9646,243.2,4.6716,0.005,33.815,20.11,0.0,1.395,0.000661406,0.025133422000000002,1.3394270000000001
2010,2,49,36.76,-12.83,,,,,49.0,21.1178,36.5255,221.4,4.6161,0.042,0.39,0.0,0.0,0.02,0.00182527,,32.271
2010,2,102,36.76,-12.83,,,,,103.0,16.0502,36.1522,234.6,4.61,0.179,0.8300000000000001,1.07,0.13,0.13,,,
2010,2,141,36.76,-12.83,,,,,142.0,15.1064,36.0795,217.3,4.6357,0.054000000000000006,1.9,5.529999999999999,0.01,0.37,0.00275441,0.00275441,5.7349
2010,2,662,36.76,-12.83,,,,,668.0,11.1097,35.711999999999996,179.0,4.6629,0.003,8.05,16.314999999999998,0.0,1.03,0.005067566,0.011148645,2.2159999999999997
2010,3,35,35.2,-16.0,0.57,0.07,36.0,,35.0,22.16445,36.6359,219.8,4.61235,0.038,0.5349999999999999,0.0,0.0,0.0,,,
2010,3,77,35.2,-16.0,0.5,0.06,84.0,,77.0,17.1104,36.30715,210.4,4.61245,0.162,0.68,0.09,0.02,0.015,0.0014294989999999999,,9.569227
2010,3,100,35.2,-16.0,0.2,0.16,,,101.0,16.4864,36.26435,205.35,4.63395,0.078,1.36,4.01,0.04,0.23,,,6.7488850000000005
2010,3,136,35.2,-16.0,0.43,0.17,93.0,,137.0,15.88275,36.1809,205.5,4.6438,0.019,1.66,4.904999999999999,0.01,0.3,0.0028977595,0.958556527,4.260139
2010,3,191,35.2,-16.0,0.55,0.18,69.0,,192.0,14.9229,36.05235,204.4,4.65075,0.0055,2.1950000000000003,6.425,0.005,0.395,0.004727987,0.165479548,3.430189
2010,3,401,35.2,-16.0,0.64,0.24,65.0,,404.0,12.65765,35.7287,202.2,4.65895,0.0025,4.0,10.945,0.0,0.68,0.003723475,0.40958223899999996,2.363653
2010,3,490,35.2,-16.0,0.04,0.32,110.0,0.24,494.0,11.93175,35.6392,190.05,4.66055,0.003,5.41,13.745000000000001,0.0,0.855,0.003494251,0.524137706,2.186748
2010,3,611,35.2,-16.0,,0.37,150.0,,616.0,11.06165,35.586,181.65,4.6636,0.004,7.17,15.91,0.0,0.99,0.00404438,0.566213247,1.64507
2010,3,777,35.2,-16.0,1.74,0.39,215.0,,784.0,10.6057,35.7243,177.95,4.6661,0.0035,9.120000000000001,17.0,0.0,1.0750000000000002,0.003338597,0.7678773529999999,1.303931
2010,3,1501,35.2,-16.0,0.08,,61.0,,1518.0,6.8528,35.5033,217.4,4.6727,0.004,13.56,17.355,0.0,1.14,,,
2010,3,2101,35.2,-16.0,0.65,,51.0,,2127.0,4.1114,35.0963,244.3,4.6764,0.004,20.98,18.59,0.0,1.255,0.004376262,0.328219671,0.8511639999999999
2010,5,31,31.0,-22.0,1.18,0.12,32.0,,31.0,24.31545,37.235,212.15,4.6149,0.015,0.44,0.0,0.0,0.0,,,
2010,5,81,31.0,-22.0,0.39,0.1,23.0,,81.66666667,19.37656667,36.65813333,218.4,4.617133333,0.062,0.58,0.0,0.0,0.0,,0.00645392,9.901022
2010,5,136,31.0,-22.0,0.55,0.15,35.0,,137.0,17.94685,36.5444,203.15,4.63325,0.07200000000000001,1.22,2.755,0.02,0.15,,,
2010,5,187,31.0,-22.0,0.61,0.23,29.0,,188.0,17.39755,36.46635,199.95,4.6475,0.0125,1.46,3.78,0.01,0.2,0.003813805,0.01525522,3.5882050000000003
2010,5,251,31.0,-22.0,0.62,0.2,30.0,,253.0,16.49925,36.3137,197.95,4.6509,0.0035,2.1900000000000004,5.67,0.01,0.345,0.0030488890000000004,0.053863705,2.840159
2010,5,553,31.0,-22.0,0.71,0.24,73.0,,558.0,12.38645,35.678000000000004,188.75,4.6606,0.003,5.609999999999999,13.015,0.0,0.81,0.00289287,0.170679318,1.899575
2010,5,963,31.0,-22.0,0.87,0.39,139.0,,972.0,9.11395,35.51805,171.05,4.66915,0.004,12.97,20.185,0.0,1.315,0.008062804,0.258009724,0.803929
2010,5,1501,31.01,-22.0,0.78,0.37,50.0,,1517.0,6.5513,35.3975,211.7,4.675,0.004,15.075,18.505,0.0,1.24,,,
2010,5,2100,31.01,-22.0,0.79,0.34,56.0,,2126.0,4.1307,35.0862,242.7,4.6789,0.004,20.1,18.61,0.0,1.28,,,
2010,5,3001,31.01,-22.0,0.93,0.4,,,3045.0,2.7907,34.9413,246.0,4.6812,0.004,34.64,20.369999999999997,0.0,1.42,0.003602825,,0.565511
2010,5,3600,31.01,-22.0,0.88,0.35,20.0,205.0,3658.0,2.5285,34.9115,244.7,4.6813,0.004,41.67,21.240000000000002,0.0,1.4849999999999999,,,
2010,5,4899,31.01,-22.0,,0.37,24.0,,4993.0,2.4378,34.885999999999996,244.5,4.6787,0.004,47.335,21.549999999999997,0.0,1.51,0.002272479,0.21134058100000003,0.7112310000000001
2010,6,41,27.52,-22.0,0.5,0.07,24.0,,41.0,24.3568,37.2725,209.6,4.6026,0.018000000000000002,0.39,0.005,0.0,0.02,0.00149393,,16.3285
2010,6,91,27.52,-22.0,0.29,0.09,30.0,,92.0,20.3333,36.8778,229.1,4.61,0.071,0.39,0.0,0.0,0.030000000000000002,,,
