Year,STNNBR,DEPTH,lat,lon,Hg_total,Hg0,MMHg_fM,DMHg_fM,CTDPRS,CTDTMP,CTDSAL,CTDOXY,TRANSM,FLUORM,SILCAT,NITRAT,NITRIT,PHSPHT,HgP_pmol_ug,HgP_flag,MMHgP_pmol_ug,MMHgP_flag,POC_ugram_L,POC_sink_flag,POC_susp_flag
2010,1,35,38.32,-9.66,2.01,,34,,35,18.8331,36.21075,235,4.50975,0.288,0.58,0.06,0.03,0.09,0.002553296,2,0.001276648,2,34.6743,1,1
2010,1,35,38.32,-9.66,2.01,,34,,35,18.8331,36.21075,235,4.50975,0.288,0.58,0.06,0.03,0.09,0.001273606,2,0.006946939,2,36.103599,1,1
2010,1,35,38.32,-9.66,2.01,,34,,35,18.8331,36.21075,235,4.50975,0.288,0.68,0.04,0.02,0.05,0.002553296,2,0.001276648,2,34.6743,1,1
2010,1,35,38.32,-9.66,2.01,,34,,35,18.8331,36.21075,235,4.50975,0.288,0.68,0.04,0.02,0.05,0.001273606,2,0.006946939,2,36.103599,1,1
2010,1,136,38.32,-9.66,2.17,0.28,33,,137,15.19465,36.1498,212.05,4.64345,0.0255,1.76,5.5,0,0.38,,2,0.015669354,2,4.9189,1,1
2010,1,136,38.32,-9.66,2.17,0.28,33,,137,15.19465,36.1498,212.05,4.64345,0.0255,1.76,5.44,0.01,0.39,,2,0.015669354,2,4.9189,1,1
2010,1,1150,38.33,-9.66,,0.85,,,1162,12.5304,36.5157,185.3,4.6276,0.005,7.02,12.33,0,0.75,,2,,2,,1,1
2010,1,1150,38.33,-9.66,,0.85,,,1162,12.5304,36.5157,185.3,4.6276,0.005,7.02,12.33,0,0.75,,2,,2,,1,1
2010,1,2101,38.33,-9.66,1.92,0.58,,,2127,4.3907,35.149,239.6,4.6618,0.005,21.76,18.6,0,1.26,0.001175275,2,0.021154955,2,1.204062,1,1
2010,1,2101,38.33,-9.66,1.92,0.58,,,2127,4.3907,35.149,239.6,4.6618,0.005,21.66,18.59,0,1.27,0.001175275,2,0.021154955,2,1.204062,1,1
