Year,STNNBR,LATITUDE,LONGITUDE,CTDDEPTH,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W
2010,1,38.32,-9.66,24,0.49,2,0.00,2,0.00,2,0.01,2
2010,1,38.32,-9.66,24,0.49,2,0.00,2,0.00,2,0.01,2
2010,1,38.32,-9.66,35,0.58,2,0.06,2,0.03,2,0.09,2
2010,1,38.32,-9.66,35,0.68,2,0.04,2,0.02,2,0.05,2
2010,1,38.32,-9.66,40,0.78,2,0.10,2,0.05,2,0.07,2
2010,1,38.32,-9.66,40,0.68,2,0.10,2,0.05,2,0.05,2
2010,1,38.32,-9.66,68,0.88,2,0.61,2,0.09,2,0.11,2
2010,1,38.32,-9.66,68,0.78,2,0.64,2,0.09,2,0.11,2
2010,1,38.32,-9.66,136,1.76,2,5.50,2,0.00,2,0.38,2
2010,1,38.32,-9.66,136,1.76,2,5.44,2,0.01,2,0.39,2
2010,1,38.32,-9.66,199,2.54,2,7.57,2,0.00,2,0.52,2
2010,1,38.32,-9.66,199,2.63,2,7.54,2,0.00,2,0.50,2
2010,1,38.32,-9.66,300,3.51,2,10.11,2,0.00,2,0.64,2
2010,1,38.32,-9.66,300,3.41,2,10.08,2,0.00,2,0.64,2
2010,1,38.32,-9.66,401,4.78,2,12.39,2,0.00,2,0.79,2
2010,1,38.32,-9.66,401,4.68,2,12.40,2,0.00,2,0.79,2
2010,1,38.32,-9.66,502,6.24,2,13.43,2,0.00,2,0.85,2
2010,1,38.32,-9.66,502,6.24,2,13.28,2,0.00,2,0.84,2
2010,1,38.32,-9.66,642,5.07,2,10.59,2,0.00,2,0.65,2
2010,1,38.32,-9.66,642,5.26,2,10.66,2,0.00,2,0.66,2
2010,1,38.32,-9.66,777,5.75,2,11.26,2,0.00,2,0.69,2
2010,1,38.32,-9.66,777,5.65,2,11.21,2,0.00,2,0.69,2
2010,1,38.32,-9.66,876,6.34,2,12.21,2,0.00,2,0.76,2
2010,1,38.32,-9.66,876,6.34,2,12.15,2,0.00,2,0.76,2
2010,1,38.33,-9.66,900,6.63,2,12.20,2,0.00,2,0.74,2
2010,1,38.33,-9.66,900,6.73,2,12.21,2,0.00,2,0.74,2
2010,1,38.33,-9.66,990,6.63,2,12.07,2,0.00,2,0.73,2
2010,1,38.33,-9.66,990,6.53,2,12.08,2,0.00,2,0.74,2
2010,1,38.33,-9.66,1150,7.02,2,12.33,2,0.00,2,0.75,2
2010,1,38.33,-9.66,1150,7.02,2,12.33,2,0.00,2,0.75,2
2010,1,38.33,-9.66,1293,9.16,2,14.60,2,0.00,2,0.92,2
2010,1,38.33,-9.66,1293,9.26,2,14.59,2,0.00,2,0.93,2
2010,1,38.33,-9.66,1480,9.94,2,14.58,2,0.00,2,0.93,2
2010,1,38.33,-9.66,1480,9.65,2,14.58,2,0.00,2,0.92,2
2010,1,38.33,-9.66,1701,14.73,2,17.13,2,0.00,2,1.13,2
2010,1,38.33,-9.66,1701,14.83,2,17.11,2,0.00,2,1.13,2
2010,1,38.33,-9.66,1901,18.24,2,17.97,2,0.00,2,1.21,2
2010,1,38.33,-9.66,1901,18.34,2,17.99,2,0.00,2,1.21,2
2010,1,38.33,-9.66,2101,21.76,2,18.60,2,0.00,2,1.26,2
2010,1,38.33,-9.66,2101,21.66,2,18.59,2,0.00,2,1.27,2
