Station,Depth_m,long_E,lat_N,Temp_C,SALINITY_PSS78,Oxygen_umol_kg,PO4_umol_L,Silicate_umol_L,nitrate_umol_L,nitrite_umol_L,HgT_pM,Hg0_pM,DMHg_fM,MMHg_fM
1,20,206,17,25.72,34.96,217.0,0.23,1.09,0.05,0.03,0.45,0.1,,
1,40,206,17,25.71,34.97,218.03,0.24,1.28,0.07,0.01,0.43,0.09,19.31,
1,60,206,17,25.02,34.9,223.91,0.23,1.08,0.01,0.01,0.81,0.08,21.85,
1,85,206,17,22.81,34.9,229.49,0.19,1.07,0.06,0.02,0.28,0.12,22.05,
1,120,206,17,20.96,34.98,214.31,0.25,3.42,1.47,0.08,1.0,0.17,38.04,
1,135,206,17,20.17,34.93,205.49,0.22,1.85,1.68,0.04,0.55,0.14,24.18,
1,150,206,17,19.75,35.04,204.5,0.25,4.98,2.27,0.04,0.59,0.22,26.67,
1,200,206,17,15.04,34.28,179.15,0.84,8.28,10.22,0.03,0.91,0.18,47.26,
1,300,206,17,9.45,34.08,173.17,1.56,28.94,21.76,0.02,1.37,0.14,50.24,
1,400,206,17,7.98,34.33,39.83,2.66,54.08,34.27,0.02,1.33,0.13,54.55,
1,499,206,17,7.01,34.41,19.73,2.93,60.95,38.24,0.01,1.66,0.12,39.25,
1,600,206,17,6.3,34.43,22.7,3.04,73.49,40.41,0.03,1.0,0.1,95.05,
1,700,206,17,5.64,34.47,28.92,3.09,82.62,41.81,0.03,1.09,0.11,95.83,
1,799,206,17,5.08,34.49,32.78,3.13,90.2,42.36,0.03,1.19,0.11,95.63,
1,1000,206,17,4.16,34.52,41.65,3.16,105.75,42.72,0.03,1.01,0.17,90.66,
1,1500,206,17,2.81,34.58,67.03,3.07,131.4,41.84,0.03,1.16,0.11,39.34,
1,2250,206,17,1.91,34.64,105.75,2.83,156.1,39.57,0.03,1.79,0.15,83.92,
1,3000,206,17,1.59,34.67,125.97,2.69,153.74,38.38,0.04,1.69,0.19,73.57,
1,3499,206,17,1.49,34.68,138.05,2.63,157.22,37.27,0.04,1.85,0.17,56.12,
1,4000,206,17,1.44,34.68,151.33,2.56,153.51,36.53,0.05,2.01,0.26,52.44,
1,4500,206,17,1.43,34.69,160.71,2.52,144.54,35.91,0.04,2.06,0.21,45.43,
1,4950,206,17,1.43,34.69,168.42,2.48,144.13,35.35,0.04,1.68,0.22,37.78,
2,10,205,12,27.31,34.28,211.54,,,,,0.24,0.05,,5.0
2,20,205,12,27.32,34.28,211.88,0.23,0.72,0.07,0.01,0.11,0.07,,15.75
2,39,205,12,27.26,34.36,212.86,0.26,1.12,0.07,0.02,0.12,0.12,17.67,12.05
2,59,205,12,24.65,34.72,223.03,0.29,1.32,0.11,0.04,0.15,0.22,,28.66
2,85,205,12,20.09,34.76,195.76,0.56,3.49,4.03,0.37,0.19,0.14,22.12,27.24
2,94,205,12,19.25,34.67,186.41,,,,,0.52,0.16,,18.05
2,99,205,12,18.55,34.59,171.87,0.74,5.45,7.48,0.22,,,27.48,24.01
2,200,205,12,11.23,34.69,1.7,2.63,31.37,32.57,0.06,0.79,0.36,30.0,21.9
2,225,205,12,10.94,34.7,1.73,2.65,32.75,31.6,0.55,0.71,0.32,,5.23
2,250,205,12,10.61,34.69,1.59,2.68,33.73,32.79,0.19,1.06,0.3,47.29,18.76
2,299,205,12,10.04,34.65,1.57,2.75,36.68,32.91,0.43,0.75,0.34,41.5,21.63
2,349,205,12,9.39,34.61,5.45,2.78,40.21,35.09,0.01,0.79,0.25,55.16,69.8
2,400,205,12,8.76,34.58,4.07,2.88,44.14,36.26,0.01,0.82,0.13,43.65,72.41
2,450,205,12,8.29,34.56,14.03,2.83,47.48,37.37,0.02,0.98,0.11,34.78,41.01
2,499,205,12,7.86,34.54,21.81,2.82,49.05,37.73,0.02,1.08,0.11,24.77,64.22
2,599,205,12,6.86,34.51,14.8,3.02,62.78,39.84,0.03,0.73,0.12,20.75,38.57
2,700,205,12,6.04,34.51,14.0,3.12,74.75,41.97,0.02,0.78,0.09,27.31,16.54
2,800,205,12,5.4,34.52,23.66,3.14,97.69,42.91,0.02,0.66,0.1,,32.0
2,1000,205,12,4.45,34.54,40.47,3.16,82.2,43.7,0.05,0.84,0.1,31.63,21.97
3,40,204,8,27.41,34.71,213.75,0.24,1.43,0.27,0.04,0.31,0.08,19.68,5.0
3,79,204,8,21.13,34.83,218.15,0.44,3.34,2.64,0.25,0.32,0.16,25.47,5.0
3,100,204,8,17.69,34.58,172.02,1.34,13.32,16.48,0.07,0.42,0.22,37.2,5.0
3,125,204,8,12.65,34.5,40.7,2.34,26.19,30.79,0.02,1.01,0.24,74.67,31.16
3,150,204,8,11.79,34.65,15.31,2.47,29.25,33.3,0.03,0.95,,94.69,38.59
3,200,204,8,10.63,34.7,14.6,2.5,31.74,35.14,0.03,1.4,0.17,102.56,49.14
3,250,204,8,10.0,34.68,27.59,2.5,33.65,35.18,0.03,1.64,0.12,112.22,52.19
3,300,204,8,9.58,34.66,25.42,2.55,35.56,35.7,0.03,1.18,0.03,111.61,48.38
3,349,204,8,9.33,34.65,25.62,2.59,37.58,36.22,0.02,1.12,0.11,160.0,40.18
3,400,204,8,8.95,34.64,31.5,2.64,39.21,36.84,0.01,1.51,0.11,60.22,70.87
3,450,204,8,8.55,34.61,26.01,2.77,43.84,37.87,0.04,1.04,0.13,130.0,14.83
3,499,204,8,8.08,34.59,27.22,2.82,46.31,38.54,0.03,1.64,0.13,99.25,26.19
3,599,204,8,7.12,34.56,28.08,2.95,56.88,40.1,0.02,0.96,0.1,77.23,
3,800,204,8,5.6,34.54,44.13,3.05,76.85,42.39,0.04,1.11,0.12,92.63,56.63
3,999,204,8,4.56,34.56,53.51,3.1,90.87,42.86,0.03,1.05,0.15,80.26,54.63
3,1499,204,8,3.03,34.6,75.73,3.02,125.62,41.76,0.01,0.84,0.15,60.54,50.0
3,2500,204,8,1.85,34.66,112.79,2.71,155.39,38.48,0.02,1.65,0.17,80.57,5.0
3,3000,204,8,1.69,34.67,123.9,2.62,153.85,37.61,0.01,1.35,0.3,101.07,5.0
3,3500,204,8,1.53,34.68,140.88,2.54,143.48,36.07,0.01,1.58,0.3,85.69,70.63
3,3999,204,8,1.41,34.69,158.94,2.47,138.67,35.4,0.05,1.61,0.17,104.26,14.67
3,4500,204,8,1.37,34.69,168.32,2.45,137.9,35.1,0.02,1.56,0.2,130.21,
3,4930,204,8,1.4,34.69,171.39,,,,,1.54,0.26,109.74,32.98
4,39,203,4,28.08,35.04,205.17,0.33,3.6,1.6,0.16,0.05,0.04,,17.22
